fixture_id,date,timestamp,status,maintime,first_half,second_half,extratime,country,league_id,league_name,league_flag,league_logo,season,round,venue_name,venue_city,venue_id,referee,home_team,home_team_id,home_team_flag,home_winner,away_team,away_team_id,away_team_flag,away_winner,home_goals,away_goals,halftime_home,halftime_away,fulltime_home,fulltime_away,home_team_name,home_team_logo,home_Shots on Goal,home_Shots off Goal,home_Total Shots,home_Blocked Shots,home_Shots insidebox,home_Shots outsidebox,home_Fouls,home_Corner Kicks,home_Offsides,home_Ball Possession,home_Yellow Cards,home_Red Cards,home_Goalkeeper Saves,home_Total passes,home_Passes accurate,home_Passes %,away_team_name,away_team_logo,away_Shots on Goal,away_Shots off Goal,away_Total Shots,away_Blocked Shots,away_Shots insidebox,away_Shots outsidebox,away_Fouls,away_Corner Kicks,away_Offsides,away_Ball Possession,away_Yellow Cards,away_Red Cards,away_Goalkeeper Saves,away_Total passes,away_Passes accurate,away_Passes %,odds_home_win,odds_draw,odds_away_win
723362,2021-08-06 18:45:00+00:00,1628275500,FT,90,1628275500,1628279100,,Germany,81,DFB Pokal,https://media.api-sports.io/flags/de.svg,https://media.api-sports.io/football/leagues/81.png,2021,1st Round,Rudolf-Harbig-Stadion,Dresden,707,C. Günsch,Dynamo Dresden,183,https://media.api-sports.io/football/teams/183.png,True,SC Paderborn 07,185,https://media.api-sports.io/football/teams/185.png,False,2,1,0,0,2,1,Dynamo Dresden,https://media.api-sports.io/football/teams/183.png,7,5,14,2,9,5,7,5,2.0,48%,1.0,,7,377,267,71%,SC Paderborn 07,https://media.api-sports.io/football/teams/185.png,9,6,21,6,14,7,17,6,1.0,52%,5.0,,5,412,302,73%,,,
723367,2021-08-06 18:45:00+00:00,1628275500,PEN,120,1628275500,1628279100,,Germany,81,DFB Pokal,https://media.api-sports.io/flags/de.svg,https://media.api-sports.io/football/leagues/81.png,2021,1st Round,Städtisches Stadion an der Grünwalder Straße,München,695,T. Reichel,TSV 1860 Munich,786,https://media.api-sports.io/football/teams/786.png,True,SV Darmstadt 98,181,https://media.api-sports.io/football/teams/181.png,False,1,1,0,0,1,1,TSV 1860 Munich,https://media.api-sports.io/football/teams/786.png,7,9,24,8,11,13,10,7,3.0,55%,4.0,,8,652,531,81%,SV Darmstadt 98,https://media.api-sports.io/football/teams/181.png,9,9,22,4,12,10,17,6,3.0,45%,1.0,,6,536,439,82%,,,
723348,2021-08-07 13:30:00+00:00,1628343000,FT,90,1628343000,1628346600,,Germany,81,DFB Pokal,https://media.api-sports.io/flags/de.svg,https://media.api-sports.io/football/leagues/81.png,2021,1st Round,BWT-Stadion am Hardtwald,Sandhausen,740,D. Schlager,SV Sandhausen,189,https://media.api-sports.io/football/teams/189.png,False,RB Leipzig,173,https://media.api-sports.io/football/teams/173.png,True,0,4,0,2,0,4,SV Sandhausen,https://media.api-sports.io/football/teams/189.png,4,1,7,2,5,2,7,2,0.0,27%,1.0,,4,222,134,60%,RB Leipzig,https://media.api-sports.io/football/teams/173.png,8,5,15,2,11,4,9,13,5.0,73%,0.0,,4,624,531,85%,,,
723358,2021-08-07 13:30:00+00:00,1628343000,FT,90,1628343000,1628346600,,Germany,81,DFB Pokal,https://media.api-sports.io/flags/de.svg,https://media.api-sports.io/football/leagues/81.png,2021,1st Round,Bremer Brücke,Osnabrück,735,P. Ittrich,VfL Osnabruck,1324,https://media.api-sports.io/football/teams/1324.png,True,Werder Bremen,162,https://media.api-sports.io/football/teams/162.png,False,2,0,1,0,2,0,VfL Osnabruck,https://media.api-sports.io/football/teams/1324.png,2,7,14,5,8,6,9,12,1.0,39%,3.0,,6,249,163,65%,Werder Bremen,https://media.api-sports.io/football/teams/162.png,6,9,20,5,15,5,16,9,2.0,61%,4.0,,0,381,308,81%,,,
723359,2021-08-07 13:30:00+00:00,1628343000,FT,90,1628343000,1628346600,,Germany,81,DFB Pokal,https://media.api-sports.io/flags/de.svg,https://media.api-sports.io/football/leagues/81.png,2021,1st Round,Edmund-Plambeck-Stadion,Norderstedt,2702,M. Jöllenbeck,Eintracht Norderstedt,1631,https://media.api-sports.io/football/teams/1631.png,False,Hannover 96,166,https://media.api-sports.io/football/teams/166.png,True,0,4,0,2,0,4,Eintracht Norderstedt,https://media.api-sports.io/football/teams/1631.png,2,2,6,2,4,2,11,2,0.0,38%,1.0,,7,361,287,80%,Hannover 96,https://media.api-sports.io/football/teams/166.png,11,11,23,1,12,11,13,7,4.0,62%,1.0,,2,590,517,88%,,,
748868,2021-08-07 13:30:00+00:00,1628343000,FT,90,1628343000,1628346600,,Germany,81,DFB Pokal,https://media.api-sports.io/flags/de.svg,https://media.api-sports.io/football/leagues/81.png,2021,1st Round,Sportforum Hohenschönhausen,Berlin,701,E. Müller,BFC Dynamo,1636,https://media.api-sports.io/football/teams/1636.png,False,VfB Stuttgart,172,https://media.api-sports.io/football/teams/172.png,True,0,6,0,2,0,6,BFC Dynamo,https://media.api-sports.io/football/teams/1636.png,2,8,16,6,12,4,13,9,1.0,36%,3.0,,2,244,177,73%,VfB Stuttgart,https://media.api-sports.io/football/teams/172.png,8,5,15,2,12,3,14,1,1.0,64%,1.0,,1,504,435,86%,,,
723342,2021-08-07 13:30:00+00:00,1628343000,AET,120,1628343000,1628346600,,Germany,81,DFB Pokal,https://media.api-sports.io/flags/de.svg,https://media.api-sports.io/football/leagues/81.png,2021,1st Round,Manfred-Werner-Stadion,Flensburg,754,F. Willenborg,Weiche Flensburg,1649,https://media.api-sports.io/football/teams/1649.png,False,Holstein Kiel,191,https://media.api-sports.io/football/teams/191.png,True,2,4,0,0,0,0,Weiche Flensburg,https://media.api-sports.io/football/teams/1649.png,3,4,8,1,4,4,17,1,1.0,26%,1.0,,7,270,141,52%,Holstein Kiel,https://media.api-sports.io/football/teams/191.png,10,7,20,3,12,8,10,7,2.0,74%,3.0,,1,749,613,82%,,,
723350,2021-08-07 13:30:00+00:00,1628343000,FT,90,1628343000,1628346600,,Germany,81,DFB Pokal,https://media.api-sports.io/flags/de.svg,https://media.api-sports.io/football/leagues/81.png,2021,1st Round,Hans-Walter-Wild-Stadion,Bayreuth,6433,R. Hartmann,Bayreuth,9325,https://media.api-sports.io/football/teams/9325.png,False,Arminia Bielefeld,188,https://media.api-sports.io/football/teams/188.png,True,3,6,1,2,3,6,Bayreuth,https://media.api-sports.io/football/teams/9325.png,3,3,10,4,3,7,8,2,3.0,46%,3.0,,8,319,196,61%,Arminia Bielefeld,https://media.api-sports.io/football/teams/188.png,14,9,27,4,19,8,11,7,4.0,54%,3.0,,1,378,279,74%,,,
723346,2021-08-07 13:30:00+00:00,1628343000,FT,90,1628343000,1628346600,,Germany,81,DFB Pokal,https://media.api-sports.io/flags/de.svg,https://media.api-sports.io/football/leagues/81.png,2021,1st Round,Bruno-Plache-Stadion,Leipzig,6460,F. Lechner,Lokomotive Leipzig,9355,https://media.api-sports.io/football/teams/9355.png,False,Bayer Leverkusen,168,https://media.api-sports.io/football/teams/168.png,True,0,3,0,2,0,3,Lokomotive Leipzig,https://media.api-sports.io/football/teams/9355.png,3,3,8,2,4,4,10,3,1.0,40%,2.0,,2,396,320,81%,Bayer Leverkusen,https://media.api-sports.io/football/teams/168.png,5,4,9,0,4,5,9,6,3.0,60%,0.0,,3,605,533,88%,,,
723364,2021-08-07 13:30:00+00:00,1628343000,AET,120,1628343000,1628346600,,Germany,81,DFB Pokal,https://media.api-sports.io/flags/de.svg,https://media.api-sports.io/football/leagues/81.png,2021,1st Round,Stadion am Zoo,Wuppertal,6480,P. Alt,Wuppertaler SV,9375,https://media.api-sports.io/football/teams/9375.png,False,Vfl Bochum,176,https://media.api-sports.io/football/teams/176.png,True,1,2,1,0,1,1,Wuppertaler SV,https://media.api-sports.io/football/teams/9375.png,3,3,9,3,6,3,13,3,2.0,30%,3.0,1.0,4,337,197,58%,Vfl Bochum,https://media.api-sports.io/football/teams/176.png,6,9,21,6,12,9,15,14,5.0,70%,4.0,0.0,2,761,642,84%,,,
