fixture_id,date,timestamp,status,maintime,first_half,second_half,extratime,country,league_id,league_name,league_flag,league_logo,season,round,venue_name,venue_city,venue_id,referee,home_team,home_team_id,home_team_flag,home_winner,away_team,away_team_id,away_team_flag,away_winner,home_goals,away_goals,halftime_home,halftime_away,fulltime_home,fulltime_away,home_team_name,home_team_logo,home_Shots on Goal,home_Shots off Goal,home_Total Shots,home_Blocked Shots,home_Shots insidebox,home_Shots outsidebox,home_Fouls,home_Corner Kicks,home_Offsides,home_Ball Possession,home_Yellow Cards,home_Red Cards,home_Goalkeeper Saves,home_Total passes,home_Passes accurate,home_Passes %,away_team_name,away_team_logo,away_Shots on Goal,away_Shots off Goal,away_Total Shots,away_Blocked Shots,away_Shots insidebox,away_Shots outsidebox,away_Fouls,away_Corner Kicks,away_Offsides,away_Ball Possession,away_Yellow Cards,away_Red Cards,away_Goalkeeper Saves,away_Total passes,away_Passes accurate,away_Passes %,odds_home_win,odds_draw,odds_away_win
755735,2021-09-11 15:15:00+00:00,1631373300,FT,90,1631373300,1631376900,,Greece,197,Super League 1,https://media.api-sports.io/flags/gr.svg,https://media.api-sports.io/football/leagues/197.png,2021,Regular Season - 1,Stadio Panetolikou,Agrinio,778,A. Tsakalidis,Panetolikos,949,https://media.api-sports.io/football/teams/949.png,,Asteras Tripolis,955,https://media.api-sports.io/football/teams/955.png,,0,0,0,0,0,0,Panetolikos,https://media.api-sports.io/football/teams/949.png,1,2,3,,,,18,1,2.0,43%,1,0,1.0,,,,Asteras Tripolis,https://media.api-sports.io/football/teams/955.png,1,4,5,,,,23,4,3.0,57%,3,0,1.0,,,,,,
755734,2021-09-11 17:30:00+00:00,1631381400,FT,90,1631381400,1631385000,,Greece,197,Super League 1,https://media.api-sports.io/flags/gr.svg,https://media.api-sports.io/football/leagues/197.png,2021,Regular Season - 1,Stadio Apóstolos Nikolaidis,Athens,761,A. Sidiropoulos,Panathinaikos,617,https://media.api-sports.io/football/teams/617.png,True,Apollon Smirnis,951,https://media.api-sports.io/football/teams/951.png,False,4,0,2,0,4,0,Panathinaikos,https://media.api-sports.io/football/teams/617.png,6,3,9,,,,12,1,2.0,65%,3,0,4.0,,,,Apollon Smirnis,https://media.api-sports.io/football/teams/951.png,6,4,10,,,,20,3,0.0,35%,5,1,0.0,,,,,,
755732,2021-09-12 15:15:00+00:00,1631459700,FT,90,1631459700,1631463300,,Greece,197,Super League 1,https://media.api-sports.io/flags/gr.svg,https://media.api-sports.io/football/leagues/197.png,2021,Regular Season - 1,Panthessaliko Stadio,Volos,1918,D. Karantonis,Volos NFC,2110,https://media.api-sports.io/football/teams/2110.png,True,Lamia,956,https://media.api-sports.io/football/teams/956.png,False,2,1,2,0,2,1,Volos NFC,https://media.api-sports.io/football/teams/2110.png,6,3,9,,,,15,4,2.0,45%,1,0,1.0,,,,Lamia,https://media.api-sports.io/football/teams/956.png,4,7,11,,,,16,8,1.0,55%,2,0,3.0,,,,,,
755736,2021-09-12 16:00:00+00:00,1631462400,FT,90,1631462400,1631466000,,Greece,197,Super League 1,https://media.api-sports.io/flags/gr.svg,https://media.api-sports.io/football/leagues/197.png,2021,Regular Season - 1,Stadio Toumbas,Thessaloníki,780,A. Diamantopoulos,PAOK,619,https://media.api-sports.io/football/teams/619.png,False,PAS Giannina,950,https://media.api-sports.io/football/teams/950.png,True,0,1,0,0,0,1,PAOK,https://media.api-sports.io/football/teams/619.png,2,7,9,,,,16,8,1.0,64%,2,0,1.0,,,,PAS Giannina,https://media.api-sports.io/football/teams/950.png,1,2,3,,,,21,4,3.0,36%,3,0,2.0,,,,,,
755733,2021-09-12 17:30:00+00:00,1631467800,FT,90,1631467800,1631471400,,Greece,197,Super League 1,https://media.api-sports.io/flags/gr.svg,https://media.api-sports.io/football/leagues/197.png,2021,Regular Season - 1,Stadio Georgios Karaiskáki,Piraeus,775,E. Gortsilas,Olympiakos Piraeus,553,https://media.api-sports.io/football/teams/553.png,,Atromitos,12260,https://media.api-sports.io/football/teams/12260.png,,0,0,0,0,0,0,Olympiakos Piraeus,https://media.api-sports.io/football/teams/553.png,6,10,16,,,,13,9,1.0,64%,1,0,2.0,,,,Atromitos,https://media.api-sports.io/football/teams/12260.png,2,1,3,,,,16,0,1.0,36%,6,0,4.0,,,,,,
755730,2021-09-12 17:30:00+00:00,1631467800,FT,90,1631467800,1631471400,,Greece,197,Super League 1,https://media.api-sports.io/flags/gr.svg,https://media.api-sports.io/football/leagues/197.png,2021,Regular Season - 1,Olympiako Stadio Spyros Louis,Athens,761,G. Tzovaras,AEK Athens FC,575,https://media.api-sports.io/football/teams/575.png,True,Ionikos,7513,https://media.api-sports.io/football/teams/7513.png,False,3,0,1,0,3,0,AEK Athens FC,https://media.api-sports.io/football/teams/575.png,9,2,11,,,,18,8,2.0,67%,3,0,0.0,,,,Ionikos,https://media.api-sports.io/football/teams/7513.png,0,4,4,,,,13,0,2.0,33%,3,1,6.0,,,,,,
755731,2021-09-13 16:30:00+00:00,1631550600,FT,90,1631550600,1631554200,,Greece,197,Super League 1,https://media.api-sports.io/flags/gr.svg,https://media.api-sports.io/football/leagues/197.png,2021,Regular Season - 1,Stadio Harilaou Kleánthis Vikelídis,Thessaloníki,765,T. Tzilos,Aris Thessalonikis,1123,https://media.api-sports.io/football/teams/1123.png,,OFI,1124,https://media.api-sports.io/football/teams/1124.png,,0,0,0,0,0,0,Aris Thessalonikis,https://media.api-sports.io/football/teams/1123.png,3,10,13,,,,12,9,,64%,1,0,0.0,,,,OFI,https://media.api-sports.io/football/teams/1124.png,0,0,0,,,,19,2,,36%,3,0,3.0,,,,,,
755741,2021-09-17 16:00:00+00:00,1631894400,FT,90,1631894400,1631898000,,Greece,197,Super League 1,https://media.api-sports.io/flags/gr.svg,https://media.api-sports.io/football/leagues/197.png,2021,Regular Season - 2,Dimotiko Gipedo Neapolis Nikaias,Athens,5455,A. Koutsiaftis,Ionikos,7513,https://media.api-sports.io/football/teams/7513.png,True,Aris Thessalonikis,1123,https://media.api-sports.io/football/teams/1123.png,False,1,0,0,0,1,0,Ionikos,https://media.api-sports.io/football/teams/7513.png,1,0,1,,,,13,0,0.0,44%,5,0,1.0,,,,Aris Thessalonikis,https://media.api-sports.io/football/teams/1123.png,1,7,8,,,,16,5,3.0,56%,1,0,0.0,,,,,,
755737,2021-09-18 17:30:00+00:00,1631986200,FT,90,1631986200,1631989800,,Greece,197,Super League 1,https://media.api-sports.io/flags/gr.svg,https://media.api-sports.io/football/leagues/197.png,2021,Regular Season - 2,Stadio Zosimades,Ioannina,781,I. Papadopoulos,PAS Giannina,950,https://media.api-sports.io/football/teams/950.png,True,Panathinaikos,617,https://media.api-sports.io/football/teams/617.png,False,1,0,1,0,1,0,PAS Giannina,https://media.api-sports.io/football/teams/950.png,1,1,2,,,,18,5,,26%,4,0,3.0,,,,Panathinaikos,https://media.api-sports.io/football/teams/617.png,4,8,12,,,,13,8,,74%,2,0,0.0,,,,,,
755738,2021-09-19 13:00:00+00:00,1632056400,FT,90,1632056400,1632060000,,Greece,197,Super League 1,https://media.api-sports.io/flags/gr.svg,https://media.api-sports.io/football/leagues/197.png,2021,Regular Season - 2,Stadio Georgios Kamaras,Athens,764,K. Perrakis,Apollon Smirnis,951,https://media.api-sports.io/football/teams/951.png,False,Volos NFC,2110,https://media.api-sports.io/football/teams/2110.png,True,1,3,0,1,1,3,Apollon Smirnis,https://media.api-sports.io/football/teams/951.png,3,4,7,,,,19,6,3.0,60%,2,0,1.0,,,,Volos NFC,https://media.api-sports.io/football/teams/2110.png,4,1,5,,,,20,1,1.0,40%,3,0,2.0,,,,,,
