fixture_id,date,timestamp,status,maintime,first_half,second_half,extratime,country,league_id,league_name,league_flag,league_logo,season,round,venue_name,venue_city,venue_id,referee,home_team,home_team_id,home_team_flag,away_team,away_team_id,away_team_flag,home_goals,away_goals,halftime_home,halftime_away,fulltime_home,fulltime_away,home_shots_on_goal,home_shots_off_goal,home_total_shots,home_blocked_shots,home_shots_insidebox,home_shots_outsidebox,home_fouls,home_corner_kicks,home_offsides,home_ball_possession,home_yellow_cards,home_red_cards,home_goalkeeper_saves,home_total_passes,home_passes_accurate,home_passes,away_shots_on_goal,away_shots_off_goal,away_total_shots,away_blocked_shots,away_shots_insidebox,away_shots_outsidebox,away_fouls,away_corner_kicks,away_offsides,away_ball_possession,away_yellow_cards,away_red_cards,away_goalkeeper_saves,away_total_passes,away_passes_accurate,away_passes,home_points,away_points,home_goals_for,away_goals_for,home_goals_against,away_goals_against,home_played,away_played,home_wins,away_wins,home_draws,away_draws,home_losses,away_losses,home_goals_diff,away_goals_diff,home_rank,away_rank
1099027,2023-08-05 16:00:00+00:00,1691251200,FT,90,1691251200,1691254800,0.0,Italy,137,Coppa Italia,https://media.api-sports.io/flags/it.svg,https://media.api-sports.io/football/leagues/137.png,2023,Preliminary Round,Stadio Luigi Razza,Vibo Valentia,949,F. Cosso,Catanzaro,1687,https://media.api-sports.io/football/teams/1687.png,Foggia,521,https://media.api-sports.io/football/teams/521.png,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,0.0,,,,174,0,116,0,232,58,116,58,58,0,0,0,58,58,-116,-58,22,35
1099028,2023-08-06 16:00:00+00:00,1691337600,FT,90,1691337600,1691341200,0.0,Italy,137,Coppa Italia,https://media.api-sports.io/flags/it.svg,https://media.api-sports.io/football/leagues/137.png,2023,Preliminary Round,Stadio Comunale,Fiorenzuola d'Arda,6580,D. Di Marco,Reggiana,880,https://media.api-sports.io/football/teams/880.png,Pescara,525,https://media.api-sports.io/football/teams/525.png,6,2,3,2,6,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,0.0,,,,348,0,522,116,290,348,174,58,116,0,0,0,58,58,232,-232,7,43
1099029,2023-08-06 18:00:00+00:00,1691344800,FT,90,1691344800,1691348400,0.0,Italy,137,Coppa Italia,https://media.api-sports.io/flags/it.svg,https://media.api-sports.io/football/leagues/137.png,2023,Preliminary Round,Stadio Leonardo Garilli,Piacenza,924,M. Monaldi,Feralpisalo,884,https://media.api-sports.io/football/teams/884.png,Vicenza Virtus,1584,https://media.api-sports.io/football/teams/1584.png,2,1,2,0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.5,2.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.5,3.0,0.0,0.0,,,,174,0,174,58,174,116,116,58,58,0,0,0,58,58,0,-58,16,30
1099030,2023-08-06 18:30:00+00:00,1691346600,AET,120,1691346600,1691350200,0.0,Italy,137,Coppa Italia,https://media.api-sports.io/flags/it.svg,https://media.api-sports.io/football/leagues/137.png,2023,Preliminary Round,Orogel Stadium-Dino Manuzzi,Cesena,2758,M. Gualtieri,Cesena,509,https://media.api-sports.io/football/teams/509.png,Virtus Entella,527,https://media.api-sports.io/football/teams/527.png,2,2,2,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.5,1.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.5,2.0,0.0,0.0,,,,58,58,116,116,232,116,116,58,0,0,58,58,58,0,-116,0,27,24
1099015,2023-08-11 15:45:00+00:00,1691768700,FT,90,1691768700,1691772300,0.0,Italy,137,Coppa Italia,https://media.api-sports.io/flags/it.svg,https://media.api-sports.io/football/leagues/137.png,2023,1St Round,Stadio Benito Stirpe,Frosinone,904,D. Ghersini,Frosinone,512,https://media.api-sports.io/football/teams/512.png,Pisa,801,https://media.api-sports.io/football/teams/801.png,1,0,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,0.0,,,,522,0,406,0,290,58,232,58,174,0,0,0,58,58,116,-58,4,35
1108423,2023-08-11 16:00:00+00:00,1691769600,FT,90,1691769600,1691773200,0.0,Italy,137,Coppa Italia,https://media.api-sports.io/flags/it.svg,https://media.api-sports.io/football/leagues/137.png,2023,1St Round,Stadio Friuli,Udine,,D. Minelli,Udinese,494,https://media.api-sports.io/football/teams/494.png,Catanzaro,1687,https://media.api-sports.io/football/teams/1687.png,4,1,1,1,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,0.0,,,,174,177,290,117,174,232,116,117,58,59,0,0,58,58,116,-115,14,22
1099016,2023-08-11 19:00:00+00:00,1691780400,FT,90,1691780400,1691784000,0.0,Italy,137,Coppa Italia,https://media.api-sports.io/flags/it.svg,https://media.api-sports.io/football/leagues/137.png,2023,1St Round,Stadio Comunale Luigi Ferraris,Genova,905,G. Aureliano,Genoa,495,https://media.api-sports.io/football/teams/495.png,Modena,899,https://media.api-sports.io/football/teams/899.png,4,3,2,2,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,0.0,,,,348,0,348,174,290,232,174,58,116,0,0,0,58,58,58,-58,9,29
1108424,2023-08-11 19:15:00+00:00,1691781300,FT,90,1691781300,1691784900,0.0,Italy,137,Coppa Italia,https://media.api-sports.io/flags/it.svg,https://media.api-sports.io/football/leagues/137.png,2023,1St Round,Stadio Renato Dall'Ara,Bologna,881,G. Manganiello,Bologna,500,https://media.api-sports.io/football/teams/500.png,Cesena,509,https://media.api-sports.io/football/teams/509.png,2,0,1,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,0.0,,,,580,59,348,118,58,234,232,117,174,0,58,59,0,58,290,-116,2,27
1099017,2023-08-12 15:45:00+00:00,1691855100,FT,90,1691855100,1691858700,0.0,Italy,137,Coppa Italia,https://media.api-sports.io/flags/it.svg,https://media.api-sports.io/football/leagues/137.png,2023,1St Round,Stadio Carlo Castellani – Computer Gross Arena,Empoli,20109,A. Prontera,Empoli,511,https://media.api-sports.io/football/teams/511.png,Cittadella,510,https://media.api-sports.io/football/teams/510.png,1,2,1,0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,0.0,,,,0,174,58,174,116,174,58,116,0,58,0,0,58,58,-58,0,30,16
1099018,2023-08-12 16:00:00+00:00,1691856000,FT,90,1691856000,1691859600,0.0,Italy,137,Coppa Italia,https://media.api-sports.io/flags/it.svg,https://media.api-sports.io/football/leagues/137.png,2023,1St Round,Stadio Comunale San Nicola,Bari,2763,F. Fourneau,Bari,508,https://media.api-sports.io/football/teams/508.png,Parma,523,https://media.api-sports.io/football/teams/523.png,0,3,0,2,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,0.0,,,,0,406,0,522,174,232,58,174,0,116,0,58,58,0,-174,290,42,6
