fixture_id,date,timestamp,status,maintime,first_half,second_half,extratime,country,league_id,league_name,league_flag,league_logo,season,round,venue_name,venue_city,venue_id,referee,home_team,home_team_id,home_team_flag,home_winner,away_team,away_team_id,away_team_flag,away_winner,home_goals,away_goals,halftime_home,halftime_away,fulltime_home,fulltime_away,home_team_name,home_team_logo,home_Shots on Goal,home_Shots off Goal,home_Total Shots,home_Blocked Shots,home_Shots insidebox,home_Shots outsidebox,home_Fouls,home_Corner Kicks,home_Offsides,home_Ball Possession,home_Yellow Cards,home_Red Cards,home_Goalkeeper Saves,home_Total passes,home_Passes accurate,home_Passes %,away_team_name,away_team_logo,away_Shots on Goal,away_Shots off Goal,away_Total Shots,away_Blocked Shots,away_Shots insidebox,away_Shots outsidebox,away_Fouls,away_Corner Kicks,away_Offsides,away_Ball Possession,away_Yellow Cards,away_Red Cards,away_Goalkeeper Saves,away_Total passes,away_Passes accurate,away_Passes %,odds_home_win,odds_draw,odds_away_win
9045,2017-08-19 16:00:00+00:00,1503158400,FT,90,1503158400,1503162000,,Italy,135,Serie A,https://media.api-sports.io/flags/it.svg,https://media.api-sports.io/football/leagues/135.png,2017,Regular Season - 1,Allianz Stadium,Turin,,"Fabio Maresca, Italy",Juventus,496,https://media.api-sports.io/football/teams/496.png,True,Cagliari,490,https://media.api-sports.io/football/teams/490.png,False,3,0,2,0,3,0,Juventus,https://media.api-sports.io/football/teams/496.png,7,5,17,5.0,7,10,13,4,2.0,62%,1.0,0,2.0,685,609,89%,Cagliari,https://media.api-sports.io/football/teams/490.png,2,2,5,1.0,5,0,11,1,0.0,38%,0.0,0,4.0,408,320,78%,,,
9044,2017-08-19 18:45:00+00:00,1503168300,FT,90,1503168300,1503171900,,Italy,135,Serie A,https://media.api-sports.io/flags/it.svg,https://media.api-sports.io/football/leagues/135.png,2017,Regular Season - 1,Marc'Antonio Bentegodi,Verona,,"Michael Fabbri, Italy",Verona,504,https://media.api-sports.io/football/teams/504.png,False,Napoli,492,https://media.api-sports.io/football/teams/492.png,True,1,3,0,2,1,3,Verona,https://media.api-sports.io/football/teams/504.png,4,8,12,0.0,10,2,7,3,4.0,39%,2.0,0,9.0,428,335,78%,Napoli,https://media.api-sports.io/football/teams/492.png,12,9,22,1.0,13,10,9,6,1.0,61%,2.0,1,3.0,667,578,87%,,,
9043,2017-08-20 16:00:00+00:00,1503244800,FT,90,1503244800,1503248400,,Italy,135,Serie A,https://media.api-sports.io/flags/it.svg,https://media.api-sports.io/football/leagues/135.png,2017,Regular Season - 1,Stadio Atleti Azzurri d'Italia,Bergamo,,"Piero Giacomelli, Italy",Atalanta,499,https://media.api-sports.io/football/teams/499.png,False,AS Roma,497,https://media.api-sports.io/football/teams/497.png,True,0,1,0,1,0,1,Atalanta,https://media.api-sports.io/football/teams/499.png,6,6,16,4.0,9,7,14,4,6.0,56%,1.0,0,0.0,454,373,82%,AS Roma,https://media.api-sports.io/football/teams/497.png,1,3,6,2.0,3,3,16,1,1.0,44%,2.0,0,6.0,357,264,74%,,,
9039,2017-08-20 18:45:00+00:00,1503254700,FT,90,1503254700,1503258300,,Italy,135,Serie A,https://media.api-sports.io/flags/it.svg,https://media.api-sports.io/football/leagues/135.png,2017,Regular Season - 1,Stadio Olimpico,Rome,,"Rosario Abisso, Italy",Lazio,487,https://media.api-sports.io/football/teams/487.png,,Spal,493,https://media.api-sports.io/football/teams/493.png,,0,0,0,0,0,0,Lazio,https://media.api-sports.io/football/teams/487.png,10,9,22,3.0,11,11,20,9,2.0,53%,2.0,0,2.0,493,422,86%,Spal,https://media.api-sports.io/football/teams/493.png,2,4,9,3.0,6,3,4,5,1.0,47%,2.0,0,10.0,440,353,80%,,,
9041,2017-08-20 18:45:00+00:00,1503254700,FT,90,1503254700,1503258300,,Italy,135,Serie A,https://media.api-sports.io/flags/it.svg,https://media.api-sports.io/football/leagues/135.png,2017,Regular Season - 1,Mapei Stadium – Città del Tricolore,Reggio Emilia,935.0,"Antonio Damato, Italy",Sassuolo,488,https://media.api-sports.io/football/teams/488.png,,Genoa,495,https://media.api-sports.io/football/teams/495.png,,0,0,0,0,0,0,Sassuolo,https://media.api-sports.io/football/teams/488.png,3,9,14,2.0,5,9,16,2,0.0,46%,2.0,0,4.0,393,320,81%,Genoa,https://media.api-sports.io/football/teams/495.png,4,6,12,2.0,5,7,28,5,1.0,54%,3.0,0,3.0,438,361,82%,,,
9042,2017-08-20 18:45:00+00:00,1503254700,FT,90,1503254700,1503258300,,Italy,135,Serie A,https://media.api-sports.io/flags/it.svg,https://media.api-sports.io/football/leagues/135.png,2017,Regular Season - 1,Dacia Arena,Udine,928.0,"Claudio Gavillucci, Italy",Udinese,494,https://media.api-sports.io/football/teams/494.png,False,Chievo,491,https://media.api-sports.io/football/teams/491.png,True,1,2,1,1,1,2,Udinese,https://media.api-sports.io/football/teams/494.png,5,7,18,6.0,10,8,11,5,1.0,52%,2.0,0,1.0,507,411,81%,Chievo,https://media.api-sports.io/football/teams/491.png,3,5,10,2.0,7,3,10,4,2.0,48%,2.0,0,4.0,459,357,78%,,,
9040,2017-08-20 18:45:00+00:00,1503254700,FT,90,1503254700,1503258300,,Italy,135,Serie A,https://media.api-sports.io/flags/it.svg,https://media.api-sports.io/football/leagues/135.png,2017,Regular Season - 1,Luigi Ferraris,Genova,,"Fabrizio Pasqua, Italy",Sampdoria,498,https://media.api-sports.io/football/teams/498.png,True,Benevento,506,https://media.api-sports.io/football/teams/506.png,False,2,1,1,1,2,1,Sampdoria,https://media.api-sports.io/football/teams/498.png,6,4,16,6.0,10,6,10,6,2.0,64%,1.0,0,6.0,623,541,87%,Benevento,https://media.api-sports.io/football/teams/506.png,7,9,18,2.0,8,10,10,7,3.0,36%,2.0,0,4.0,333,262,79%,,,
9036,2017-08-20 18:45:00+00:00,1503254700,FT,90,1503254700,1503258300,,Italy,135,Serie A,https://media.api-sports.io/flags/it.svg,https://media.api-sports.io/football/leagues/135.png,2017,Regular Season - 1,Stadio Renato Dall'Ara,Bologna,881.0,"Davide Massa, Italy",Bologna,500,https://media.api-sports.io/football/teams/500.png,,Torino,503,https://media.api-sports.io/football/teams/503.png,,1,1,1,1,1,1,Bologna,https://media.api-sports.io/football/teams/500.png,3,6,13,4.0,7,6,18,0,2.0,40%,2.0,0,2.0,354,282,80%,Torino,https://media.api-sports.io/football/teams/503.png,3,4,9,2.0,2,7,10,8,5.0,60%,1.0,0,2.0,529,447,84%,,,
9037,2017-08-20 18:45:00+00:00,1503254700,FT,90,1503254700,1503258300,,Italy,135,Serie A,https://media.api-sports.io/flags/it.svg,https://media.api-sports.io/football/leagues/135.png,2017,Regular Season - 1,Stadio Ezio Scida,Crotone,895.0,"Maurizio Mariani, Italy",Crotone,501,https://media.api-sports.io/football/teams/501.png,False,AC Milan,489,https://media.api-sports.io/football/teams/489.png,True,0,3,0,3,0,3,Crotone,https://media.api-sports.io/football/teams/501.png,2,3,6,1.0,5,1,9,2,5.0,19%,1.0,1,7.0,172,103,60%,AC Milan,https://media.api-sports.io/football/teams/489.png,10,6,19,3.0,12,7,14,9,4.0,81%,3.0,0,2.0,722,653,90%,,,
9038,2017-08-20 18:45:00+00:00,1503254700,FT,90,1503254700,1503258300,,Italy,135,Serie A,https://media.api-sports.io/flags/it.svg,https://media.api-sports.io/football/leagues/135.png,2017,Regular Season - 1,San Siro/Giuseppe Meazza,Milan,,"Paolo Tagliavento, Italy",Inter,505,https://media.api-sports.io/football/teams/505.png,True,Fiorentina,502,https://media.api-sports.io/football/teams/502.png,False,3,0,2,0,3,0,Inter,https://media.api-sports.io/football/teams/505.png,6,8,16,2.0,11,5,7,9,1.0,51%,0.0,0,3.0,541,457,84%,Fiorentina,https://media.api-sports.io/football/teams/502.png,3,9,15,3.0,4,11,13,7,1.0,49%,1.0,0,3.0,501,425,85%,,,
