fixture_id,date,timestamp,status,maintime,first_half,second_half,extratime,country,league_id,league_name,league_flag,league_logo,season,round,venue_name,venue_city,venue_id,referee,home_team,home_team_id,home_team_flag,home_winner,away_team,away_team_id,away_team_flag,away_winner,home_goals,away_goals,halftime_home,halftime_away,fulltime_home,fulltime_away,home_team_name,home_team_logo,home_Shots on Goal,home_Shots off Goal,home_Total Shots,home_Blocked Shots,home_Shots insidebox,home_Shots outsidebox,home_Fouls,home_Corner Kicks,home_Offsides,home_Ball Possession,home_Yellow Cards,home_Red Cards,home_Goalkeeper Saves,home_Total passes,home_Passes accurate,home_Passes %,home_Counter Attacks,away_team_name,away_team_logo,away_Shots on Goal,away_Shots off Goal,away_Total Shots,away_Blocked Shots,away_Shots insidebox,away_Shots outsidebox,away_Fouls,away_Corner Kicks,away_Offsides,away_Ball Possession,away_Yellow Cards,away_Red Cards,away_Goalkeeper Saves,away_Total passes,away_Passes accurate,away_Passes %,away_Counter Attacks,odds_home_win,odds_draw,odds_away_win
28993,2018-08-18 16:00:00+00:00,1534608000,FT,90,1534608000,1534611600,,Italy,135,Serie A,https://media.api-sports.io/flags/it.svg,https://media.api-sports.io/football/leagues/135.png,2018,Regular Season - 1,Marc'Antonio Bentegodi,Verona,,"Fabrizio Pasqua, Italy",Chievo,491,https://media.api-sports.io/football/teams/491.png,False,Juventus,496,https://media.api-sports.io/football/teams/496.png,True,2,3,1,1,2,3,Chievo,https://media.api-sports.io/football/teams/491.png,2,4,6.0,0,2.0,4.0,8,0,1.0,27%,2.0,0.0,8,261.0,199.0,76%,,Juventus,https://media.api-sports.io/football/teams/496.png,10,13,27.0,4,17.0,10.0,9,8,3.0,73%,0.0,0.0,0,679.0,617.0,91%,,,,
28995,2018-08-18 18:30:00+00:00,1534617000,FT,90,1534617000,1534620600,,Italy,135,Serie A,https://media.api-sports.io/flags/it.svg,https://media.api-sports.io/football/leagues/135.png,2018,Regular Season - 1,Stadio Olimpico,Rome,,"Luca Banti, Italy",Lazio,487,https://media.api-sports.io/football/teams/487.png,False,Napoli,492,https://media.api-sports.io/football/teams/492.png,True,1,2,1,1,1,2,Lazio,https://media.api-sports.io/football/teams/487.png,1,6,10.0,3,6.0,4.0,8,4,4.0,35%,,0.0,1,403.0,321.0,80%,,Napoli,https://media.api-sports.io/football/teams/492.png,3,5,10.0,2,6.0,4.0,5,7,2.0,65%,,0.0,0,741.0,637.0,86%,,,,
28999,2018-08-19 16:00:00+00:00,1534694400,FT,90,1534694400,1534698000,,Italy,135,Serie A,https://media.api-sports.io/flags/it.svg,https://media.api-sports.io/football/leagues/135.png,2018,Regular Season - 1,Stadio Olimpico Grande Torino,Torino,943.0,"Marco Di Bello, Italy",Torino,503,https://media.api-sports.io/football/teams/503.png,False,AS Roma,497,https://media.api-sports.io/football/teams/497.png,True,0,1,0,0,0,1,Torino,https://media.api-sports.io/football/teams/503.png,4,6,10.0,0,6.0,4.0,10,6,2.0,42%,1.0,0.0,4,324.0,237.0,73%,,AS Roma,https://media.api-sports.io/football/teams/497.png,6,6,17.0,5,12.0,5.0,14,5,1.0,58%,3.0,0.0,4,447.0,363.0,81%,,,,
28998,2018-08-19 18:30:00+00:00,1534703400,FT,90,1534703400,1534707000,,Italy,135,Serie A,https://media.api-sports.io/flags/it.svg,https://media.api-sports.io/football/leagues/135.png,2018,Regular Season - 1,Mapei Stadium – Città del Tricolore,Reggio Emilia,935.0,"Maurizio Mariani, Italy",Sassuolo,488,https://media.api-sports.io/football/teams/488.png,True,Inter,505,https://media.api-sports.io/football/teams/505.png,False,1,0,1,0,1,0,Sassuolo,https://media.api-sports.io/football/teams/488.png,2,5,12.0,5,9.0,3.0,23,4,3.0,37%,3.0,0.0,3,347.0,276.0,80%,,Inter,https://media.api-sports.io/football/teams/505.png,3,8,14.0,3,7.0,7.0,11,4,1.0,63%,2.0,0.0,1,555.0,483.0,87%,,,,
28992,2018-08-19 18:30:00+00:00,1534703400,FT,90,1534703400,1534707000,,Italy,135,Serie A,https://media.api-sports.io/flags/it.svg,https://media.api-sports.io/football/leagues/135.png,2018,Regular Season - 1,Stadio Renato Dall'Ara,Bologna,881.0,"Piero Giacomelli, Italy",Bologna,500,https://media.api-sports.io/football/teams/500.png,False,Spal,493,https://media.api-sports.io/football/teams/493.png,True,0,1,0,0,0,1,Bologna,https://media.api-sports.io/football/teams/500.png,3,6,13.0,4,8.0,5.0,16,7,4.0,40%,4.0,1.0,4,334.0,244.0,73%,,Spal,https://media.api-sports.io/football/teams/493.png,5,6,13.0,2,5.0,8.0,15,0,0.0,60%,2.0,0.0,3,513.0,419.0,82%,,,,
28994,2018-08-19 18:30:00+00:00,1534703400,FT,90,1534703400,1534707000,,Italy,135,Serie A,https://media.api-sports.io/flags/it.svg,https://media.api-sports.io/football/leagues/135.png,2018,Regular Season - 1,Carlo Castellani,Empoli,,"Daniele Chiffi, Italy",Empoli,511,https://media.api-sports.io/football/teams/511.png,True,Cagliari,490,https://media.api-sports.io/football/teams/490.png,False,2,0,1,0,2,0,Empoli,https://media.api-sports.io/football/teams/511.png,4,4,9.0,1,7.0,2.0,19,6,5.0,45%,3.0,0.0,3,407.0,306.0,75%,,Cagliari,https://media.api-sports.io/football/teams/490.png,3,9,15.0,3,9.0,6.0,19,6,0.0,55%,3.0,0.0,2,458.0,369.0,81%,,,,
28996,2018-08-19 18:30:00+00:00,1534703400,FT,90,1534703400,1534707000,,Italy,135,Serie A,https://media.api-sports.io/flags/it.svg,https://media.api-sports.io/football/leagues/135.png,2018,Regular Season - 1,Ennio Tardini,Parma,,"Gianpaolo Calvarese, Italy",Parma,523,https://media.api-sports.io/football/teams/523.png,,Udinese,494,https://media.api-sports.io/football/teams/494.png,,2,2,1,0,2,2,Parma,https://media.api-sports.io/football/teams/523.png,4,2,10.0,4,10.0,0.0,14,4,1.0,44%,2.0,0.0,2,345.0,279.0,81%,,Udinese,https://media.api-sports.io/football/teams/494.png,5,10,17.0,2,9.0,8.0,13,5,0.0,56%,2.0,0.0,2,434.0,381.0,88%,,,,
28991,2018-08-20 18:30:00+00:00,1534789800,FT,90,1534789800,1534793400,,Italy,135,Serie A,https://media.api-sports.io/flags/it.svg,https://media.api-sports.io/football/leagues/135.png,2018,Regular Season - 1,Stadio Atleti Azzurri d'Italia,Bergamo,,"Marco Piccinini, Italy",Atalanta,499,https://media.api-sports.io/football/teams/499.png,True,Frosinone,512,https://media.api-sports.io/football/teams/512.png,False,4,0,1,0,4,0,Atalanta,https://media.api-sports.io/football/teams/499.png,9,7,17.0,1,12.0,5.0,15,4,6.0,58%,0.0,0.0,0,573.0,493.0,86%,,Frosinone,https://media.api-sports.io/football/teams/512.png,0,6,6.0,0,1.0,5.0,11,4,3.0,42%,2.0,0.0,5,406.0,323.0,80%,,,,
29005,2018-08-25 16:00:00+00:00,1535212800,FT,90,1535212800,1535216400,,Italy,135,Serie A,https://media.api-sports.io/flags/it.svg,https://media.api-sports.io/football/leagues/135.png,2018,Regular Season - 2,Allianz Stadium,Turin,,"Massimiliano Irrati, Italy",Juventus,496,https://media.api-sports.io/football/teams/496.png,True,Lazio,487,https://media.api-sports.io/football/teams/487.png,False,2,0,1,0,2,0,Juventus,https://media.api-sports.io/football/teams/496.png,7,4,16.0,5,8.0,8.0,11,6,0.0,55%,3.0,0.0,2,530.0,442.0,83%,,Lazio,https://media.api-sports.io/football/teams/487.png,2,6,9.0,1,3.0,6.0,14,2,2.0,45%,2.0,0.0,5,432.0,355.0,82%,,,,
29006,2018-08-25 18:30:00+00:00,1535221800,FT,90,1535221800,1535225400,,Italy,135,Serie A,https://media.api-sports.io/flags/it.svg,https://media.api-sports.io/football/leagues/135.png,2018,Regular Season - 2,Stadio San Paolo,Naples,,"Paolo Valeri, Italy",Napoli,492,https://media.api-sports.io/football/teams/492.png,True,AC Milan,489,https://media.api-sports.io/football/teams/489.png,False,3,2,0,1,3,2,Napoli,https://media.api-sports.io/football/teams/492.png,8,9,24.0,7,13.0,11.0,11,5,3.0,50%,2.0,0.0,0,596.0,534.0,90%,,AC Milan,https://media.api-sports.io/football/teams/489.png,2,4,8.0,2,7.0,1.0,11,1,2.0,50%,2.0,0.0,5,585.0,514.0,88%,,,,
