fixture_id,date,timestamp,status,maintime,first_half,second_half,extratime,country,league_id,league_name,league_flag,league_logo,season,round,venue_name,venue_city,venue_id,referee,home_team,home_team_id,home_team_flag,away_team,away_team_id,away_team_flag,home_goals,away_goals,halftime_home,halftime_away,fulltime_home,fulltime_away,home_shots_on_goal,home_shots_off_goal,home_total_shots,home_blocked_shots,home_shots_insidebox,home_shots_outsidebox,home_fouls,home_corner_kicks,home_offsides,home_ball_possession,home_yellow_cards,home_red_cards,home_goalkeeper_saves,home_total_passes,home_passes_accurate,home_passes,home_counter_attacks,away_shots_on_goal,away_shots_off_goal,away_total_shots,away_blocked_shots,away_shots_insidebox,away_shots_outsidebox,away_fouls,away_corner_kicks,away_offsides,away_ball_possession,away_yellow_cards,away_red_cards,away_goalkeeper_saves,away_total_passes,away_passes_accurate,away_passes,home_points,away_points,home_goals_for,away_goals_for,home_goals_against,away_goals_against,home_played,away_played,home_wins,away_wins,home_draws,away_draws,home_losses,away_losses,home_goals_diff,away_goals_diff,home_rank,away_rank
28993,2018-08-18 16:00:00+00:00,1534608000,FT,90,1534608000,1534611600,0.0,Italy,135,Serie A,https://media.api-sports.io/flags/it.svg,https://media.api-sports.io/football/leagues/135.png,2018,Regular Season - 1,Marc'Antonio Bentegodi,Verona,,"Fabrizio Pasqua, Italy",Chievo,491,https://media.api-sports.io/football/teams/491.png,Juventus,496,https://media.api-sports.io/football/teams/496.png,2,3,1,1,2,3,2,4,6.0,0,2.0,4.0,8,0,1.0,0.27,2.0,0.0,8,261.0,199.0,0.76,,10,13,27.0,4,17.0,10.0,9,8,3.0,0.73,0.0,0.0,0,679.0,617.0,0.91,1160,5220,1450,4060,4350,1740,2204,2204,116,1624,812,348,1276,232,-2900,2320,20,1
28995,2018-08-18 18:30:00+00:00,1534617000,FT,90,1534617000,1534620600,0.0,Italy,135,Serie A,https://media.api-sports.io/flags/it.svg,https://media.api-sports.io/football/leagues/135.png,2018,Regular Season - 1,Stadio Olimpico,Rome,,"Luca Banti, Italy",Lazio,487,https://media.api-sports.io/football/teams/487.png,Napoli,492,https://media.api-sports.io/football/teams/492.png,1,2,1,1,1,2,1,6,10.0,3,6.0,4.0,8,4,4.0,0.35,0.0,0.0,1,403.0,321.0,0.8,,3,5,10.0,2,6.0,4.0,5,7,2.0,0.65,0.0,0.0,0,741.0,637.0,0.86,3422,4582,3248,4292,2668,2088,2204,2204,986,1392,464,406,754,406,580,2204,8,2
28999,2018-08-19 16:00:00+00:00,1534694400,FT,90,1534694400,1534698000,0.0,Italy,135,Serie A,https://media.api-sports.io/flags/it.svg,https://media.api-sports.io/football/leagues/135.png,2018,Regular Season - 1,Stadio Olimpico Grande Torino,Torino,943,"Marco Di Bello, Italy",Torino,503,https://media.api-sports.io/football/teams/503.png,As Roma,497,https://media.api-sports.io/football/teams/497.png,0,1,0,0,0,1,4,6,10.0,0,6.0,4.0,10,6,2.0,0.42,1.0,0.0,4,324.0,237.0,0.73,,6,6,17.0,5,12.0,5.0,14,5,1.0,0.58,3.0,0.0,4,447.0,363.0,0.81,3654,3828,3016,3828,2146,2784,2204,2204,928,1044,870,696,406,464,870,1044,7,6
28998,2018-08-19 18:30:00+00:00,1534703400,FT,90,1534703400,1534707000,0.0,Italy,135,Serie A,https://media.api-sports.io/flags/it.svg,https://media.api-sports.io/football/leagues/135.png,2018,Regular Season - 1,Mapei Stadium – Città del Tricolore,Reggio Emilia,935,"Maurizio Mariani, Italy",Sassuolo,488,https://media.api-sports.io/football/teams/488.png,Inter,505,https://media.api-sports.io/football/teams/505.png,1,0,1,0,1,0,2,5,12.0,5,9.0,3.0,23,4,3.0,0.37,3.0,0.0,3,347.0,276.0,0.8,,3,8,14.0,3,7.0,7.0,11,4,1.0,0.63,2.0,0.0,1,555.0,483.0,0.87,2494,4002,3074,3306,3480,1914,2204,2204,522,1160,928,522,754,522,-406,1392,11,4
28992,2018-08-19 18:30:00+00:00,1534703400,FT,90,1534703400,1534707000,0.0,Italy,135,Serie A,https://media.api-sports.io/flags/it.svg,https://media.api-sports.io/football/leagues/135.png,2018,Regular Season - 1,Stadio Renato Dall'Ara,Bologna,881,"Piero Giacomelli, Italy",Bologna,500,https://media.api-sports.io/football/teams/500.png,Spal,493,https://media.api-sports.io/football/teams/493.png,0,1,0,0,0,1,3,6,13.0,4,8.0,5.0,16,7,4.0,0.4,4.0,1.0,4,334.0,244.0,0.73,,5,6,13.0,2,5.0,8.0,15,0,0.0,0.6,2.0,0.0,3,513.0,419.0,0.82,2552,2436,2784,2552,3248,3248,2204,2204,638,638,638,522,928,1044,-464,-696,10,13
28994,2018-08-19 18:30:00+00:00,1534703400,FT,90,1534703400,1534707000,0.0,Italy,135,Serie A,https://media.api-sports.io/flags/it.svg,https://media.api-sports.io/football/leagues/135.png,2018,Regular Season - 1,Carlo Castellani,Empoli,,"Daniele Chiffi, Italy",Empoli,511,https://media.api-sports.io/football/teams/511.png,Cagliari,490,https://media.api-sports.io/football/teams/490.png,2,0,1,0,2,0,4,4,9.0,1,7.0,2.0,19,6,5.0,0.45,3.0,0.0,3,407.0,306.0,0.75,,3,9,15.0,3,9.0,6.0,19,6,0.0,0.55,3.0,0.0,2,458.0,369.0,0.81,2204,2378,2958,2088,4060,3132,2204,2204,580,580,464,638,1160,986,-1102,-1044,18,15
28996,2018-08-19 18:30:00+00:00,1534703400,FT,90,1534703400,1534707000,0.0,Italy,135,Serie A,https://media.api-sports.io/flags/it.svg,https://media.api-sports.io/football/leagues/135.png,2018,Regular Season - 1,Ennio Tardini,Parma,,"Gianpaolo Calvarese, Italy",Parma,523,https://media.api-sports.io/football/teams/523.png,Udinese,494,https://media.api-sports.io/football/teams/494.png,2,2,1,0,2,2,4,2,10.0,4,10.0,0.0,14,4,1.0,0.44,2.0,0.0,2,345.0,279.0,0.81,,5,10,17.0,2,9.0,8.0,13,5,0.0,0.56,2.0,0.0,2,434.0,381.0,0.88,2378,2494,2378,2262,3538,3074,2204,2204,580,638,638,580,986,986,-1160,-812,16,12
28991,2018-08-20 18:30:00+00:00,1534789800,FT,90,1534789800,1534793400,0.0,Italy,135,Serie A,https://media.api-sports.io/flags/it.svg,https://media.api-sports.io/football/leagues/135.png,2018,Regular Season - 1,Stadio Atleti Azzurri d'Italia,Bergamo,,"Marco Piccinini, Italy",Atalanta,499,https://media.api-sports.io/football/teams/499.png,Frosinone,512,https://media.api-sports.io/football/teams/512.png,4,0,1,0,4,0,9,7,17.0,1,12.0,5.0,15,4,6.0,0.58,0.0,0.0,0,573.0,493.0,0.86,,0,6,6.0,0,1.0,5.0,11,4,3.0,0.42,2.0,0.0,5,406.0,323.0,0.8,4002,1450,4466,1682,2668,4002,2204,2204,1160,290,522,580,522,1334,1798,-2320,3,19
29005,2018-08-25 16:00:00+00:00,1535212800,FT,90,1535212800,1535216400,0.0,Italy,135,Serie A,https://media.api-sports.io/flags/it.svg,https://media.api-sports.io/football/leagues/135.png,2018,Regular Season - 2,Allianz Stadium,Turin,,"Massimiliano Irrati, Italy",Juventus,496,https://media.api-sports.io/football/teams/496.png,Lazio,487,https://media.api-sports.io/football/teams/487.png,2,0,1,0,2,0,7,4,16.0,5,8.0,8.0,11,6,0.0,0.55,3.0,0.0,2,530.0,442.0,0.83,,2,6,9.0,1,3.0,6.0,14,2,2.0,0.45,2.0,0.0,5,432.0,355.0,0.82,5223,3422,4063,3249,1742,2670,2205,2205,1625,986,348,464,232,755,2321,579,1,8
29006,2018-08-25 18:30:00+00:00,1535221800,FT,90,1535221800,1535225400,0.0,Italy,135,Serie A,https://media.api-sports.io/flags/it.svg,https://media.api-sports.io/football/leagues/135.png,2018,Regular Season - 2,Stadio San Paolo,Naples,,"Paolo Valeri, Italy",Napoli,492,https://media.api-sports.io/football/teams/492.png,Ac Milan,489,https://media.api-sports.io/football/teams/489.png,3,2,0,1,3,2,8,9,24.0,7,13.0,11.0,11,5,3.0,0.5,2.0,0.0,0,596.0,534.0,0.9,,2,4,8.0,2,7.0,1.0,11,1,2.0,0.5,2.0,0.0,5,585.0,514.0,0.88,4585,3944,4294,3190,2089,2088,2205,2204,1393,1102,406,638,406,464,2205,1102,2,5
29008,2018-08-26 16:00:00+00:00,1535299200,FT,90,1535299200,1535302800,0.0,Italy,135,Serie A,https://media.api-sports.io/flags/it.svg,https://media.api-sports.io/football/leagues/135.png,2018,Regular Season - 2,Stadio Renato Dall'Ara,Bologna,881,"Daniele Orsato, Italy",Spal,493,https://media.api-sports.io/football/teams/493.png,Parma,523,https://media.api-sports.io/football/teams/523.png,1,0,0,0,1,0,5,10,18.0,3,12.0,6.0,13,7,0.0,0.58,5.0,0.0,0,484.0,405.0,0.84,,0,3,4.0,1,2.0,2.0,14,2,2.0,0.42,2.0,0.0,4,354.0,263.0,0.74,2439,2379,2553,2380,3248,3540,2205,2205,639,580,522,639,1044,986,-695,-1160,13,16
