fixture_id,date,timestamp,status,maintime,first_half,second_half,extratime,country,league_id,league_name,league_flag,league_logo,season,round,venue_name,venue_city,venue_id,referee,home_team,home_team_id,home_team_flag,home_winner,away_team,away_team_id,away_team_flag,away_winner,home_goals,away_goals,halftime_home,halftime_away,fulltime_home,fulltime_away,home_team_name,home_team_logo,home_Shots on Goal,home_Shots off Goal,home_Total Shots,home_Blocked Shots,home_Shots insidebox,home_Shots outsidebox,home_Fouls,home_Corner Kicks,home_Offsides,home_Ball Possession,home_Yellow Cards,home_Red Cards,home_Goalkeeper Saves,home_Total passes,home_Passes accurate,home_Passes %,away_team_name,away_team_logo,away_Shots on Goal,away_Shots off Goal,away_Total Shots,away_Blocked Shots,away_Shots insidebox,away_Shots outsidebox,away_Fouls,away_Corner Kicks,away_Offsides,away_Ball Possession,away_Yellow Cards,away_Red Cards,away_Goalkeeper Saves,away_Total passes,away_Passes accurate,away_Passes %,odds_home_win,odds_draw,odds_away_win
1063003,2023-08-18 18:30:00+00:00,1692383400,FT,90,1692383400,1692387000,,Italy,136,Serie B,https://media.api-sports.io/flags/it.svg,https://media.api-sports.io/football/leagues/136.png,2023,Regular Season - 1,Stadio Comunale San Nicola,Bari,2763,F. Maresca,Bari,508,https://media.api-sports.io/football/teams/508.png,,Palermo,522,https://media.api-sports.io/football/teams/522.png,,0,0,0,0,0,0,Bari,https://media.api-sports.io/football/teams/508.png,3,4,11,4,9,2.0,15,3,0.0,44%,7.0,2.0,2.0,304,244,80%,Palermo,https://media.api-sports.io/football/teams/522.png,2,8,16,6,8,8.0,14,5,2.0,56%,4.0,0.0,3.0,364,325,89%,,,
1063010,2023-08-19 18:30:00+00:00,1692469800,FT,90,1692469800,1692473400,,Italy,136,Serie B,https://media.api-sports.io/flags/it.svg,https://media.api-sports.io/football/leagues/136.png,2023,Regular Season - 1,Stadio Libero Liberati,Terni,942,D. Di Marco,Ternana,516,https://media.api-sports.io/football/teams/516.png,False,Sampdoria,498,https://media.api-sports.io/football/teams/498.png,True,1,2,0,1,1,2,Ternana,https://media.api-sports.io/football/teams/516.png,3,3,14,8,8,6.0,10,5,2.0,45%,4.0,,5.0,364,262,72%,Sampdoria,https://media.api-sports.io/football/teams/498.png,6,4,13,3,8,5.0,12,4,1.0,55%,1.0,,2.0,458,368,80%,,,
1063006,2023-08-19 18:30:00+00:00,1692469800,FT,90,1692469800,1692473400,,Italy,136,Serie B,https://media.api-sports.io/flags/it.svg,https://media.api-sports.io/football/leagues/136.png,2023,Regular Season - 1,Stadio Giovanni Zini,Cremona,894,D. Perenzoni,Cremonese,520,https://media.api-sports.io/football/teams/520.png,,Catanzaro,1687,https://media.api-sports.io/football/teams/1687.png,,0,0,0,0,0,0,Cremonese,https://media.api-sports.io/football/teams/520.png,5,7,17,5,6,11.0,19,6,0.0,43%,3.0,,2.0,396,325,82%,Catanzaro,https://media.api-sports.io/football/teams/1687.png,2,2,6,2,4,2.0,7,2,2.0,57%,1.0,,3.0,559,485,87%,,,
1063005,2023-08-19 18:30:00+00:00,1692469800,FT,90,1692469800,1692473400,,Italy,136,Serie B,https://media.api-sports.io/flags/it.svg,https://media.api-sports.io/football/leagues/136.png,2023,Regular Season - 1,Stadio San Vito-Luigi Marulla,Cosenza,893,F. Fourneau,Cosenza,10137,https://media.api-sports.io/football/teams/10137.png,True,Ascoli,507,https://media.api-sports.io/football/teams/507.png,False,3,0,1,0,3,0,Cosenza,https://media.api-sports.io/football/teams/10137.png,6,9,22,7,16,6.0,12,7,3.0,71%,1.0,0.0,0.0,443,394,89%,Ascoli,https://media.api-sports.io/football/teams/507.png,0,2,4,2,1,3.0,13,0,1.0,29%,4.0,3.0,3.0,190,125,66%,,,
1063009,2023-08-20 16:00:00+00:00,1692547200,FT,90,1692547200,1692550800,,Italy,136,Serie B,https://media.api-sports.io/flags/it.svg,https://media.api-sports.io/football/leagues/136.png,2023,Regular Season - 1,Stadio Marco Druso,Bozen,940,M. Piccinini,Sudtirol,1578,https://media.api-sports.io/football/teams/1578.png,,Spezia,515,https://media.api-sports.io/football/teams/515.png,,3,3,1,2,3,3,Sudtirol,https://media.api-sports.io/football/teams/1578.png,4,4,10,2,8,2.0,21,2,0.0,33%,3.0,,2.0,329,250,76%,Spezia,https://media.api-sports.io/football/teams/515.png,5,7,17,5,6,11.0,20,1,1.0,67%,3.0,,1.0,681,610,90%,,,
1063004,2023-08-20 18:30:00+00:00,1692556200,FT,90,1692556200,1692559800,,Italy,136,Serie B,https://media.api-sports.io/flags/it.svg,https://media.api-sports.io/football/leagues/136.png,2023,Regular Season - 1,Stadio Pier Cesare Tombolato,Cittadella,891,D. Rutella,Cittadella,510,https://media.api-sports.io/football/teams/510.png,True,Reggiana,880,https://media.api-sports.io/football/teams/880.png,False,1,0,1,0,1,0,Cittadella,https://media.api-sports.io/football/teams/510.png,3,6,13,4,9,4.0,19,6,2.0,37%,3.0,,1.0,278,173,62%,Reggiana,https://media.api-sports.io/football/teams/880.png,1,3,8,4,2,6.0,20,2,1.0,63%,3.0,,2.0,508,410,81%,,,
1063011,2023-08-20 18:30:00+00:00,1692556200,FT,90,1692556200,1692559800,,Italy,136,Serie B,https://media.api-sports.io/flags/it.svg,https://media.api-sports.io/football/leagues/136.png,2023,Regular Season - 1,Stadio Pierluigi Penzo,Venezia,948,I. Pezzuto,Venezia,517,https://media.api-sports.io/football/teams/517.png,True,Como,895,https://media.api-sports.io/football/teams/895.png,False,3,0,2,0,3,0,Venezia,https://media.api-sports.io/football/teams/517.png,6,8,18,4,13,5.0,10,9,1.0,46%,,,3.0,344,272,79%,Como,https://media.api-sports.io/football/teams/895.png,3,5,12,4,5,7.0,17,3,4.0,54%,,,3.0,414,336,81%,,,
1063007,2023-08-20 18:30:00+00:00,1692556200,FT,90,1692556200,1692559800,,Italy,136,Serie B,https://media.api-sports.io/flags/it.svg,https://media.api-sports.io/football/leagues/136.png,2023,Regular Season - 1,Stadio Ennio Tardini,Parma,921,M. Monaldi,Parma,523,https://media.api-sports.io/football/teams/523.png,True,Feralpisalo,884,https://media.api-sports.io/football/teams/884.png,False,2,0,1,0,2,0,Parma,https://media.api-sports.io/football/teams/523.png,4,5,15,6,5,10.0,11,7,,51%,1.0,,2.0,466,391,84%,Feralpisalo,https://media.api-sports.io/football/teams/884.png,2,6,13,5,9,4.0,14,7,,49%,4.0,,2.0,436,359,82%,,,
1063019,2023-08-25 18:30:00+00:00,1692988200,FT,90,1692988200,1692991800,,Italy,136,Serie B,https://media.api-sports.io/flags/it.svg,https://media.api-sports.io/football/leagues/136.png,2023,Regular Season - 2,Stadio Comunale Luigi Ferraris,Genova,905,G. Camplone,Sampdoria,498,https://media.api-sports.io/football/teams/498.png,False,Pisa,801,https://media.api-sports.io/football/teams/801.png,True,0,2,0,1,0,2,Sampdoria,https://media.api-sports.io/football/teams/498.png,2,8,12,2,8,4.0,17,5,6.0,55%,1.0,,1.0,425,347,82%,Pisa,https://media.api-sports.io/football/teams/801.png,3,5,8,0,7,1.0,18,3,1.0,45%,4.0,,3.0,363,274,75%,,,
1063020,2023-08-26 16:00:00+00:00,1693065600,FT,90,1693065600,1693069200,,Italy,136,Serie B,https://media.api-sports.io/flags/it.svg,https://media.api-sports.io/football/leagues/136.png,2023,Regular Season - 2,Stadio Pierluigi Penzo,Venezia,948,K. Bonacina,Venezia,517,https://media.api-sports.io/football/teams/517.png,,Cosenza,10137,https://media.api-sports.io/football/teams/10137.png,,1,1,0,1,1,1,Venezia,https://media.api-sports.io/football/teams/517.png,4,8,20,8,15,5.0,10,8,2.0,61%,1.0,,0.0,529,460,87%,Cosenza,https://media.api-sports.io/football/teams/10137.png,1,2,4,1,2,2.0,6,2,1.0,39%,1.0,,3.0,347,276,80%,,,
