fixture_id,date,timestamp,status,maintime,first_half,second_half,extratime,country,league_id,league_name,league_flag,league_logo,season,round,venue_name,venue_city,venue_id,referee,home_team,home_team_id,home_team_flag,home_winner,away_team,away_team_id,away_team_flag,away_winner,home_goals,away_goals,halftime_home,halftime_away,fulltime_home,fulltime_away,home_team_name,home_team_logo,home_Shots on Goal,home_Shots off Goal,home_Total Shots,home_Blocked Shots,home_Shots insidebox,home_Shots outsidebox,home_Fouls,home_Corner Kicks,home_Offsides,home_Ball Possession,home_Yellow Cards,home_Red Cards,home_Goalkeeper Saves,home_Total passes,home_Passes accurate,home_Passes %,away_team_name,away_team_logo,away_Shots on Goal,away_Shots off Goal,away_Total Shots,away_Blocked Shots,away_Shots insidebox,away_Shots outsidebox,away_Fouls,away_Corner Kicks,away_Offsides,away_Ball Possession,away_Yellow Cards,away_Red Cards,away_Goalkeeper Saves,away_Total passes,away_Passes accurate,away_Passes %,odds_home_win,odds_draw,odds_away_win
1044504,2023-08-11 18:00:00+00:00,1691776800,FT,90,1691776800,1691780400,,Netherlands,89,Eerste Divisie,https://media.api-sports.io/flags/nl.svg,https://media.api-sports.io/football/leagues/89.png,2023,Regular Season - 1,Stadion De Vijverberg,Doetinchem,1121,J. van der Laan,De Graafschap,199,https://media.api-sports.io/football/teams/199.png,,ADO Den Haag,198,https://media.api-sports.io/football/teams/198.png,,0,0,0,0,0,0,De Graafschap,https://media.api-sports.io/football/teams/199.png,4.0,4.0,10.0,2.0,7.0,3.0,13.0,5.0,1.0,60%,2.0,,5.0,412.0,337.0,82%,ADO Den Haag,https://media.api-sports.io/football/teams/198.png,5.0,4.0,9.0,0.0,6.0,3.0,16.0,5.0,5.0,40%,2.0,,4.0,274.0,179.0,65%,,,
1044506,2023-08-11 18:00:00+00:00,1691776800,FT,90,1691776800,1691780400,,Netherlands,89,Eerste Divisie,https://media.api-sports.io/flags/nl.svg,https://media.api-sports.io/football/leagues/89.png,2023,Regular Season - 1,Euroborg,Groningen,12276,M. Vos,Groningen,202,https://media.api-sports.io/football/teams/202.png,True,Jong Ajax,425,https://media.api-sports.io/football/teams/425.png,False,4,1,1,0,4,1,Groningen,https://media.api-sports.io/football/teams/202.png,12.0,7.0,21.0,2.0,14.0,7.0,11.0,7.0,2.0,36%,2.0,,2.0,304.0,238.0,78%,Jong Ajax,https://media.api-sports.io/football/teams/425.png,3.0,8.0,15.0,4.0,7.0,8.0,7.0,7.0,2.0,64%,2.0,,8.0,536.0,460.0,86%,,,
1044502,2023-08-11 18:00:00+00:00,1691776800,FT,90,1691776800,1691780400,,Netherlands,89,Eerste Divisie,https://media.api-sports.io/flags/nl.svg,https://media.api-sports.io/football/leagues/89.png,2023,Regular Season - 1,Matchoholic Stadion,Dordrecht,19213,L. Gerrets,Dordrecht,409,https://media.api-sports.io/football/teams/409.png,,NAC Breda,203,https://media.api-sports.io/football/teams/203.png,,2,2,1,0,2,2,Dordrecht,https://media.api-sports.io/football/teams/409.png,6.0,3.0,15.0,6.0,10.0,5.0,11.0,9.0,2.0,62%,3.0,,5.0,482.0,383.0,79%,NAC Breda,https://media.api-sports.io/football/teams/203.png,7.0,4.0,14.0,3.0,8.0,6.0,9.0,2.0,5.0,38%,1.0,,4.0,296.0,206.0,70%,,,
1044505,2023-08-11 18:00:00+00:00,1691776800,FT,90,1691776800,1691780400,,Netherlands,89,Eerste Divisie,https://media.api-sports.io/flags/nl.svg,https://media.api-sports.io/football/leagues/89.png,2023,Regular Season - 1,Parkstad Limburg Stadion,Kerkrade,1146,E. van de Graaf,Roda,414,https://media.api-sports.io/football/teams/414.png,True,Helmond Sport,424,https://media.api-sports.io/football/teams/424.png,False,4,1,2,0,4,1,Roda,https://media.api-sports.io/football/teams/414.png,9.0,3.0,14.0,2.0,9.0,5.0,7.0,4.0,0.0,47%,1.0,,3.0,482.0,398.0,83%,Helmond Sport,https://media.api-sports.io/football/teams/424.png,4.0,6.0,10.0,0.0,9.0,1.0,11.0,6.0,1.0,53%,3.0,,5.0,523.0,456.0,87%,,,
1044503,2023-08-11 18:00:00+00:00,1691776800,FT,90,1691776800,1691780400,,Netherlands,89,Eerste Divisie,https://media.api-sports.io/flags/nl.svg,https://media.api-sports.io/football/leagues/89.png,2023,Regular Season - 1,Cambuur Stadion,Leeuwarden,12680,A. Bos,Cambuur,420,https://media.api-sports.io/football/teams/420.png,,Emmen,208,https://media.api-sports.io/football/teams/208.png,,2,2,0,2,2,2,Cambuur,https://media.api-sports.io/football/teams/420.png,7.0,9.0,22.0,6.0,12.0,10.0,13.0,9.0,0.0,71%,5.0,,1.0,486.0,389.0,80%,Emmen,https://media.api-sports.io/football/teams/208.png,3.0,4.0,9.0,2.0,2.0,7.0,18.0,1.0,1.0,29%,3.0,,5.0,206.0,106.0,51%,,,
1044501,2023-08-11 18:00:00+00:00,1691776800,FT,90,1691776800,1691780400,,Netherlands,89,Eerste Divisie,https://media.api-sports.io/flags/nl.svg,https://media.api-sports.io/football/leagues/89.png,2023,Regular Season - 1,Stadion De Vliert,'s-Hertogenbosch,1122,R. Martens,Den Bosch,421,https://media.api-sports.io/football/teams/421.png,True,FC OSS,423,https://media.api-sports.io/football/teams/423.png,False,1,0,0,0,1,0,Den Bosch,https://media.api-sports.io/football/teams/421.png,8.0,6.0,15.0,1.0,7.0,8.0,8.0,8.0,1.0,64%,1.0,,1.0,494.0,403.0,82%,FC OSS,https://media.api-sports.io/football/teams/423.png,1.0,5.0,6.0,0.0,5.0,1.0,10.0,2.0,3.0,36%,2.0,,7.0,279.0,168.0,60%,,,
1044507,2023-08-13 10:15:00+00:00,1691921700,FT,90,1691921700,1691925300,,Netherlands,89,Eerste Divisie,https://media.api-sports.io/flags/nl.svg,https://media.api-sports.io/football/leagues/89.png,2023,Regular Season - 1,Jan Louwers Stadion,Eindhoven,1126,E. Blank,FC Eindhoven,422,https://media.api-sports.io/football/teams/422.png,,Willem II,195,https://media.api-sports.io/football/teams/195.png,,1,1,0,1,1,1,FC Eindhoven,https://media.api-sports.io/football/teams/422.png,6.0,4.0,14.0,4.0,13.0,1.0,5.0,6.0,0.0,47%,1.0,,2.0,445.0,350.0,79%,Willem II,https://media.api-sports.io/football/teams/195.png,3.0,6.0,13.0,4.0,7.0,6.0,13.0,2.0,1.0,53%,4.0,,5.0,516.0,433.0,84%,,,
1044508,2023-08-13 14:45:00+00:00,1691937900,FT,90,1691937900,1691941500,,Netherlands,89,Eerste Divisie,https://media.api-sports.io/flags/nl.svg,https://media.api-sports.io/football/leagues/89.png,2023,Regular Season - 1,Covebo Stadion - De Koel -,Venlo,1158,B. Nijhuis,VVV Venlo,204,https://media.api-sports.io/football/teams/204.png,False,MVV,412,https://media.api-sports.io/football/teams/412.png,True,1,3,0,0,1,3,VVV Venlo,https://media.api-sports.io/football/teams/204.png,4.0,8.0,16.0,4.0,10.0,6.0,3.0,8.0,1.0,49%,,,2.0,410.0,318.0,78%,MVV,https://media.api-sports.io/football/teams/412.png,5.0,4.0,10.0,1.0,4.0,6.0,12.0,4.0,2.0,51%,,,3.0,447.0,352.0,79%,,,
1044510,2023-08-14 18:00:00+00:00,1692036000,FT,90,1692036000,1692039600,,Netherlands,89,Eerste Divisie,https://media.api-sports.io/flags/nl.svg,https://media.api-sports.io/football/leagues/89.png,2023,Regular Season - 1,PSV Campus De Herdgang,Eindhoven,12681,R. Vereijken,Jong PSV,411,https://media.api-sports.io/football/teams/411.png,True,Telstar,427,https://media.api-sports.io/football/teams/427.png,False,1,0,0,0,1,0,Jong PSV,https://media.api-sports.io/football/teams/411.png,4.0,3.0,8.0,1.0,5.0,3.0,12.0,3.0,1.0,50%,3.0,,4.0,393.0,298.0,76%,Telstar,https://media.api-sports.io/football/teams/427.png,4.0,7.0,15.0,4.0,11.0,4.0,15.0,11.0,6.0,50%,4.0,,4.0,381.0,284.0,75%,,,
1044509,2023-08-14 18:00:00+00:00,1692036000,FT,90,1692036000,1692039600,,Netherlands,89,Eerste Divisie,https://media.api-sports.io/flags/nl.svg,https://media.api-sports.io/football/leagues/89.png,2023,Regular Season - 1,AFAS Trainingscomplex,Wijdewormer,1136,J. Rozendal,Jong AZ,418,https://media.api-sports.io/football/teams/418.png,True,Jong Utrecht,428,https://media.api-sports.io/football/teams/428.png,False,1,0,1,0,1,0,Jong AZ,https://media.api-sports.io/football/teams/418.png,4.0,5.0,13.0,4.0,8.0,5.0,11.0,6.0,4.0,50%,3.0,1.0,2.0,459.0,375.0,82%,Jong Utrecht,https://media.api-sports.io/football/teams/428.png,2.0,5.0,10.0,3.0,7.0,3.0,16.0,1.0,2.0,50%,1.0,0.0,3.0,445.0,349.0,78%,,,
