fixture_id,date,timestamp,status,maintime,first_half,second_half,extratime,country,league_id,league_name,league_flag,league_logo,season,round,venue_name,venue_city,venue_id,referee,home_team,home_team_id,home_team_flag,home_winner,away_team,away_team_id,away_team_flag,away_winner,home_goals,away_goals,halftime_home,halftime_away,fulltime_home,fulltime_away,home_team_name,home_team_logo,home_Shots on Goal,home_Shots off Goal,home_Total Shots,home_Blocked Shots,home_Shots insidebox,home_Shots outsidebox,home_Fouls,home_Corner Kicks,home_Offsides,home_Ball Possession,home_Yellow Cards,home_Red Cards,home_Goalkeeper Saves,home_Total passes,home_Passes accurate,home_Passes %,home_Counter Attacks,away_team_name,away_team_logo,away_Shots on Goal,away_Shots off Goal,away_Total Shots,away_Blocked Shots,away_Shots insidebox,away_Shots outsidebox,away_Fouls,away_Corner Kicks,away_Offsides,away_Ball Possession,away_Yellow Cards,away_Red Cards,away_Goalkeeper Saves,away_Total passes,away_Passes accurate,away_Passes %,away_Counter Attacks,odds_home_win,odds_draw,odds_away_win
3128,2018-08-10 18:00:00+00:00,1533924000,FT,90,1533924000,1533927600,,Netherlands,88,Eredivisie,https://media.api-sports.io/flags/nl.svg,https://media.api-sports.io/football/leagues/88.png,2018,Regular Season - 1,Mac3Park Stadion,Zwolle,,"Dennis Higler, Netherlands",PEC Zwolle,193,https://media.api-sports.io/football/teams/193.png,False,Heerenveen,210,https://media.api-sports.io/football/teams/210.png,True,2,3,1,3,2,3,PEC Zwolle,https://media.api-sports.io/football/teams/193.png,6,8,22.0,8.0,13.0,9.0,13,5,1.0,69%,2.0,0.0,0,582.0,486.0,84%,,Heerenveen,https://media.api-sports.io/football/teams/210.png,3,2,7.0,2.0,5.0,2.0,14,1,0.0,31%,5.0,1.0,3,264.0,163.0,62%,,,,
3129,2018-08-11 16:30:00+00:00,1534005000,FT,90,1534005000,1534008600,,Netherlands,88,Eredivisie,https://media.api-sports.io/flags/nl.svg,https://media.api-sports.io/football/leagues/88.png,2018,Regular Season - 1,Johan Cruijff Arena,Amsterdam,1117.0,"Serdar Gozubuyuk, Netherlands",Ajax,194,https://media.api-sports.io/football/teams/194.png,,Heracles,206,https://media.api-sports.io/football/teams/206.png,,1,1,0,0,1,1,Ajax,https://media.api-sports.io/football/teams/194.png,7,6,17.0,4.0,9.0,8.0,13,12,,65%,0.0,0.0,1,547.0,453.0,83%,,Heracles,https://media.api-sports.io/football/teams/206.png,2,6,11.0,3.0,5.0,6.0,25,7,,35%,4.0,0.0,7,291.0,203.0,70%,,,,
3130,2018-08-11 16:30:00+00:00,1534005000,FT,90,1534005000,1534008600,,Netherlands,88,Eredivisie,https://media.api-sports.io/flags/nl.svg,https://media.api-sports.io/football/leagues/88.png,2018,Regular Season - 1,Koning Willem II Stadion,Tilburg,1159.0,"Rob Dieperink, Netherlands",Willem II,195,https://media.api-sports.io/football/teams/195.png,False,VVV Venlo,204,https://media.api-sports.io/football/teams/204.png,True,0,1,0,1,0,1,Willem II,https://media.api-sports.io/football/teams/195.png,6,6,17.0,5.0,6.0,11.0,11,13,3.0,68%,2.0,0.0,0,502.0,420.0,84%,,VVV Venlo,https://media.api-sports.io/football/teams/204.png,1,6,8.0,1.0,2.0,6.0,18,2,0.0,32%,2.0,0.0,6,241.0,154.0,64%,,,,
3131,2018-08-11 18:45:00+00:00,1534013100,FT,90,1534013100,1534016700,,Netherlands,88,Eredivisie,https://media.api-sports.io/flags/nl.svg,https://media.api-sports.io/football/leagues/88.png,2018,Regular Season - 1,Stadion Woudestein,Rotterdam,,"Siemen Mulder, Netherlands",Excelsior,196,https://media.api-sports.io/football/teams/196.png,,Fortuna Sittard,205,https://media.api-sports.io/football/teams/205.png,,1,1,1,0,1,1,Excelsior,https://media.api-sports.io/football/teams/196.png,3,7,13.0,3.0,8.0,5.0,12,4,0.0,38%,3.0,1.0,5,296.0,216.0,73%,,Fortuna Sittard,https://media.api-sports.io/football/teams/205.png,6,7,18.0,5.0,10.0,8.0,11,8,1.0,62%,1.0,0.0,2,469.0,386.0,82%,,,,
3132,2018-08-11 18:45:00+00:00,1534013100,FT,90,1534013100,1534016700,,Netherlands,88,Eredivisie,https://media.api-sports.io/flags/nl.svg,https://media.api-sports.io/football/leagues/88.png,2018,Regular Season - 1,Philips Stadion,Eindhoven,1143.0,"Bas Nijhuis, Netherlands",PSV Eindhoven,197,https://media.api-sports.io/football/teams/197.png,True,Utrecht,207,https://media.api-sports.io/football/teams/207.png,False,4,0,1,0,4,0,PSV Eindhoven,https://media.api-sports.io/football/teams/197.png,10,2,14.0,2.0,10.0,4.0,11,9,3.0,59%,2.0,0.0,2,545.0,476.0,87%,,Utrecht,https://media.api-sports.io/football/teams/207.png,2,3,6.0,1.0,1.0,5.0,12,1,2.0,41%,2.0,0.0,6,368.0,292.0,79%,,,,
3133,2018-08-12 10:15:00+00:00,1534068900,FT,90,1534068900,1534072500,,Netherlands,88,Eredivisie,https://media.api-sports.io/flags/nl.svg,https://media.api-sports.io/football/leagues/88.png,2018,Regular Season - 1,Cars Jeans Stadion,Den Haag,1115.0,"Richard Martens, Netherlands",ADO Den Haag,198,https://media.api-sports.io/football/teams/198.png,False,Emmen,208,https://media.api-sports.io/football/teams/208.png,True,1,2,0,2,1,2,ADO Den Haag,https://media.api-sports.io/football/teams/198.png,6,10,18.0,2.0,13.0,5.0,13,8,3.0,55%,2.0,0.0,4,379.0,288.0,76%,,Emmen,https://media.api-sports.io/football/teams/208.png,6,4,14.0,4.0,9.0,5.0,20,3,0.0,45%,1.0,0.0,5,324.0,225.0,69%,,,,
3134,2018-08-12 12:30:00+00:00,1534077000,FT,90,1534077000,1534080600,,Netherlands,88,Eredivisie,https://media.api-sports.io/flags/nl.svg,https://media.api-sports.io/football/leagues/88.png,2018,Regular Season - 1,De Vijverberg,Doetinchem,,"Pol van Boekel, Netherlands",De Graafschap,199,https://media.api-sports.io/football/teams/199.png,True,Feyenoord,209,https://media.api-sports.io/football/teams/209.png,False,2,0,1,0,2,0,De Graafschap,https://media.api-sports.io/football/teams/199.png,6,3,11.0,2.0,9.0,2.0,16,3,5.0,39%,2.0,0.0,5,316.0,224.0,71%,,Feyenoord,https://media.api-sports.io/football/teams/209.png,5,6,14.0,3.0,7.0,7.0,15,5,1.0,61%,4.0,2.0,4,486.0,397.0,82%,,,,
3135,2018-08-12 12:30:00+00:00,1534077000,FT,90,1534077000,1534080600,,Netherlands,88,Eredivisie,https://media.api-sports.io/flags/nl.svg,https://media.api-sports.io/football/leagues/88.png,2018,Regular Season - 1,GelreDome,Arnhem,1155.0,"Allard Lindhout, Netherlands",Vitesse,200,https://media.api-sports.io/football/teams/200.png,True,Groningen,202,https://media.api-sports.io/football/teams/202.png,False,5,1,2,1,5,1,Vitesse,https://media.api-sports.io/football/teams/200.png,9,5,15.0,1.0,12.0,3.0,16,6,1.0,56%,0.0,0.0,5,408.0,325.0,80%,,Groningen,https://media.api-sports.io/football/teams/202.png,6,4,11.0,1.0,8.0,3.0,15,1,1.0,44%,2.0,0.0,4,327.0,240.0,73%,,,,
3136,2018-08-12 14:45:00+00:00,1534085100,FT,90,1534085100,1534088700,,Netherlands,88,Eredivisie,https://media.api-sports.io/flags/nl.svg,https://media.api-sports.io/football/leagues/88.png,2018,Regular Season - 1,AFAS Stadion,Alkmaar,1119.0,"Danny Desmond Makkelie, Netherlands",AZ Alkmaar,201,https://media.api-sports.io/football/teams/201.png,True,NAC Breda,203,https://media.api-sports.io/football/teams/203.png,False,5,0,3,0,5,0,AZ Alkmaar,https://media.api-sports.io/football/teams/201.png,12,9,29.0,8.0,16.0,13.0,9,14,1.0,62%,0.0,0.0,4,677.0,610.0,90%,,NAC Breda,https://media.api-sports.io/football/teams/203.png,4,1,5.0,0.0,1.0,4.0,9,1,0.0,38%,2.0,0.0,7,409.0,338.0,83%,,,,
3137,2018-08-17 18:00:00+00:00,1534528800,FT,90,1534528800,1534532400,,Netherlands,88,Eredivisie,https://media.api-sports.io/flags/nl.svg,https://media.api-sports.io/football/leagues/88.png,2018,Regular Season - 2,Hitachi Capital Mobility Stadion,Groningen,,"Jeroen Manschot, Netherlands",Groningen,202,https://media.api-sports.io/football/teams/202.png,False,Willem II,195,https://media.api-sports.io/football/teams/195.png,True,0,1,0,1,0,1,Groningen,https://media.api-sports.io/football/teams/202.png,4,7,15.0,4.0,12.0,3.0,18,5,5.0,51%,1.0,0.0,1,406.0,274.0,67%,,Willem II,https://media.api-sports.io/football/teams/195.png,2,5,7.0,0.0,3.0,4.0,11,2,3.0,49%,1.0,0.0,4,393.0,267.0,68%,,,,
