fixture_id,date,timestamp,status,maintime,first_half,second_half,extratime,country,league_id,league_name,league_flag,league_logo,season,round,venue_name,venue_city,venue_id,referee,home_team,home_team_id,home_team_flag,home_winner,away_team,away_team_id,away_team_flag,away_winner,home_goals,away_goals,halftime_home,halftime_away,fulltime_home,fulltime_away,home_team_name,home_team_logo,home_Shots on Goal,home_Shots off Goal,home_Total Shots,home_Blocked Shots,home_Shots insidebox,home_Shots outsidebox,home_Fouls,home_Corner Kicks,home_Offsides,home_Ball Possession,home_Yellow Cards,home_Red Cards,home_Goalkeeper Saves,home_Total passes,home_Passes accurate,home_Passes %,away_team_name,away_team_logo,away_Shots on Goal,away_Shots off Goal,away_Total Shots,away_Blocked Shots,away_Shots insidebox,away_Shots outsidebox,away_Fouls,away_Corner Kicks,away_Offsides,away_Ball Possession,away_Yellow Cards,away_Red Cards,away_Goalkeeper Saves,away_Total passes,away_Passes accurate,away_Passes %,odds_home_win,odds_draw,odds_away_win
212126,2019-08-09 19:30:00+00:00,1565379000,FT,90,1565379000,1565382600,,Portugal,94,Primeira Liga,https://media.api-sports.io/flags/pt.svg,https://media.api-sports.io/football/leagues/94.png,2019,Regular Season - 1,Estádio Municipal de Portimão,Portimão,1285.0,Manuel Mota,Portimonense,216,https://media.api-sports.io/football/teams/216.png,,Belenenses,221,https://media.api-sports.io/football/teams/221.png,,0,0,0,0,0,0,Portimonense,https://media.api-sports.io/football/teams/216.png,5,4,16,7,6,10,19,5,2.0,51%,1.0,,2,409,314,77%,Belenenses,https://media.api-sports.io/football/teams/221.png,2,4,8,2,3,5,15,5,4.0,49%,1.0,,5,388,285,73%,,,
212123,2019-08-10 15:30:00+00:00,1565451000,FT,90,1565451000,1565454600,,Portugal,94,Primeira Liga,https://media.api-sports.io/flags/pt.svg,https://media.api-sports.io/football/leagues/94.png,2019,Regular Season - 1,Estádio de São Miguel,"Ponta Delgada, Ilha de São Miguel, Açores",1289.0,Rui Oliveira,Santa Clara,227,https://media.api-sports.io/football/teams/227.png,False,Famalicao,242,https://media.api-sports.io/football/teams/242.png,True,0,2,0,1,0,2,Santa Clara,https://media.api-sports.io/football/teams/227.png,6,10,22,6,12,10,15,14,6.0,49%,0.0,,4,352,276,78%,Famalicao,https://media.api-sports.io/football/teams/242.png,6,5,13,2,6,7,22,6,1.0,51%,3.0,,6,374,276,74%,,,
212119,2019-08-10 18:00:00+00:00,1565460000,FT,90,1565460000,1565463600,,Portugal,94,Primeira Liga,https://media.api-sports.io/flags/pt.svg,https://media.api-sports.io/football/leagues/94.png,2019,Regular Season - 1,Estádio Cidade de Barcelos,Barcelos,2811.0,Nuno Miguel Serrano Almeida,GIL Vicente,762,https://media.api-sports.io/football/teams/762.png,True,FC Porto,212,https://media.api-sports.io/football/teams/212.png,False,2,1,0,0,2,1,GIL Vicente,https://media.api-sports.io/football/teams/762.png,7,0,13,6,5,8,15,4,4.0,32%,3.0,,4,248,159,64%,FC Porto,https://media.api-sports.io/football/teams/212.png,5,3,16,8,9,7,19,6,1.0,68%,3.0,,5,542,437,81%,,,
212124,2019-08-10 20:30:00+00:00,1565469000,FT,90,1565469000,1565472600,,Portugal,94,Primeira Liga,https://media.api-sports.io/flags/pt.svg,https://media.api-sports.io/football/leagues/94.png,2019,Regular Season - 1,Estádio do Sport Lisboa e Benfica,Lisboa,,Manuel Oliveira,Benfica,211,https://media.api-sports.io/football/teams/211.png,True,Pacos Ferreira,234,https://media.api-sports.io/football/teams/234.png,False,5,0,2,0,5,0,Benfica,https://media.api-sports.io/football/teams/211.png,7,6,15,2,10,5,15,10,0.0,63%,0.0,0.0,0,528,454,86%,Pacos Ferreira,https://media.api-sports.io/football/teams/234.png,0,4,7,3,2,5,11,3,5.0,37%,4.0,1.0,2,314,264,84%,,,
212125,2019-08-11 15:00:00+00:00,1565535600,FT,90,1565535600,1565539200,,Portugal,94,Primeira Liga,https://media.api-sports.io/flags/pt.svg,https://media.api-sports.io/football/leagues/94.png,2019,Regular Season - 1,Estádio do Bessa Século XXI,Porto,1267.0,Hélder Malheiro,Boavista,222,https://media.api-sports.io/football/teams/222.png,True,Aves,220,https://media.api-sports.io/football/teams/220.png,False,2,1,1,1,2,1,Boavista,https://media.api-sports.io/football/teams/222.png,3,2,8,3,3,5,27,3,,43%,5.0,,1,265,152,57%,Aves,https://media.api-sports.io/football/teams/220.png,2,8,17,7,4,13,20,8,,57%,3.0,,1,342,235,69%,,,
212121,2019-08-11 17:30:00+00:00,1565544600,FT,90,1565544600,1565548200,,Portugal,94,Primeira Liga,https://media.api-sports.io/flags/pt.svg,https://media.api-sports.io/football/leagues/94.png,2019,Regular Season - 1,Estádio dos Barreiros,Ilha da Madeira,1279.0,Tiago Martins,Maritimo,214,https://media.api-sports.io/football/teams/214.png,,Sporting CP,228,https://media.api-sports.io/football/teams/228.png,,1,1,1,1,1,1,Maritimo,https://media.api-sports.io/football/teams/214.png,3,7,10,0,4,6,14,2,4.0,29%,4.0,,1,225,131,58%,Sporting CP,https://media.api-sports.io/football/teams/228.png,2,7,17,8,4,13,14,8,3.0,71%,4.0,,2,550,449,82%,,,
212120,2019-08-11 20:00:00+00:00,1565553600,FT,90,1565553600,1565557200,,Portugal,94,Primeira Liga,https://media.api-sports.io/flags/pt.svg,https://media.api-sports.io/football/leagues/94.png,2019,Regular Season - 1,Estádio Municipal de Braga,Braga,1291.0,Fábio Veríssimo,SC Braga,217,https://media.api-sports.io/football/teams/217.png,True,Moreirense,215,https://media.api-sports.io/football/teams/215.png,False,3,1,1,0,3,1,SC Braga,https://media.api-sports.io/football/teams/217.png,9,6,19,4,11,8,15,7,2.0,61%,2.0,,3,547,457,84%,Moreirense,https://media.api-sports.io/football/teams/215.png,4,5,11,2,6,5,10,4,0.0,39%,2.0,,6,347,274,79%,,,
212122,2019-08-12 19:15:00+00:00,1565637300,FT,90,1565637300,1565640900,,Portugal,94,Primeira Liga,https://media.api-sports.io/flags/pt.svg,https://media.api-sports.io/football/leagues/94.png,2019,Regular Season - 1,Estádio do Bonfim,Setúbal,1296.0,Vitor Ferreira,Vitoria Setubal,219,https://media.api-sports.io/football/teams/219.png,,Tondela,218,https://media.api-sports.io/football/teams/218.png,,0,0,0,0,0,0,Vitoria Setubal,https://media.api-sports.io/football/teams/219.png,4,2,7,1,4,3,23,3,1.0,42%,7.0,1.0,2,300,198,66%,Tondela,https://media.api-sports.io/football/teams/218.png,2,5,7,0,5,2,18,3,1.0,58%,2.0,0.0,4,414,311,75%,,,
212128,2019-08-16 19:30:00+00:00,1565983800,FT,90,1565983800,1565987400,,Portugal,94,Primeira Liga,https://media.api-sports.io/flags/pt.svg,https://media.api-sports.io/football/leagues/94.png,2019,Regular Season - 2,Estádio Municipal 22 de Junho,Vila Nova de Famalicão,1276.0,Rui Costa,Famalicao,242,https://media.api-sports.io/football/teams/242.png,True,Rio Ave,226,https://media.api-sports.io/football/teams/226.png,False,1,0,0,0,1,0,Famalicao,https://media.api-sports.io/football/teams/242.png,4,5,16,7,7,9,16,5,1.0,62%,3.0,0.0,1,521,443,85%,Rio Ave,https://media.api-sports.io/football/teams/226.png,1,6,13,6,9,4,16,2,4.0,38%,5.0,1.0,3,307,235,77%,,,
212133,2019-08-17 15:30:00+00:00,1566055800,FT,90,1566055800,1566059400,,Portugal,94,Primeira Liga,https://media.api-sports.io/flags/pt.svg,https://media.api-sports.io/football/leagues/94.png,2019,Regular Season - 2,Parque Desportivo Comendador Joaquim de Almeida Freitas,Moreira de Cónegos,1280.0,Manuel Oliveira,Moreirense,215,https://media.api-sports.io/football/teams/215.png,True,GIL Vicente,762,https://media.api-sports.io/football/teams/762.png,False,3,0,2,0,3,0,Moreirense,https://media.api-sports.io/football/teams/215.png,4,3,12,5,10,2,17,3,2.0,40%,0.0,,2,289,198,69%,GIL Vicente,https://media.api-sports.io/football/teams/762.png,2,10,16,4,8,8,16,5,1.0,60%,3.0,,1,411,319,78%,,,
