fixture_id,date,timestamp,status,maintime,first_half,second_half,extratime,country,league_id,league_name,league_flag,league_logo,season,round,venue_name,venue_city,venue_id,referee,home_team,home_team_id,home_team_flag,home_winner,away_team,away_team_id,away_team_flag,away_winner,home_goals,away_goals,halftime_home,halftime_away,fulltime_home,fulltime_away,home_team_name,home_team_logo,home_Shots on Goal,home_Shots off Goal,home_Total Shots,home_Blocked Shots,home_Shots insidebox,home_Shots outsidebox,home_Fouls,home_Corner Kicks,home_Offsides,home_Ball Possession,home_Yellow Cards,home_Red Cards,home_Goalkeeper Saves,home_Total passes,home_Passes accurate,home_Passes %,away_team_name,away_team_logo,away_Shots on Goal,away_Shots off Goal,away_Total Shots,away_Blocked Shots,away_Shots insidebox,away_Shots outsidebox,away_Fouls,away_Corner Kicks,away_Offsides,away_Ball Possession,away_Yellow Cards,away_Red Cards,away_Goalkeeper Saves,away_Total passes,away_Passes accurate,away_Passes %,odds_home_win,odds_draw,odds_away_win
219222,2018-10-16 18:00:00+00:00,1539712800,FT,90,1539712800,1539716400,,Spain,143,Copa del Rey,https://media.api-sports.io/flags/es.svg,https://media.api-sports.io/football/leagues/143.png,2018,3rd Round,Estadio Manuel Martínez Valero,Elche,1473.0,"Isidro Diaz de Mera Escuderos, Spain",Elche,797,https://media.api-sports.io/football/teams/797.png,False,Cordoba,713,https://media.api-sports.io/football/teams/713.png,True,1,4,0,2,1,4,Elche,https://media.api-sports.io/football/teams/797.png,4.0,5.0,12.0,3.0,4.0,8.0,20.0,3.0,1.0,45%,3.0,0.0,4.0,365.0,268.0,73%,Cordoba,https://media.api-sports.io/football/teams/713.png,8.0,5.0,15.0,2.0,9.0,6.0,22.0,5.0,3.0,55%,2.0,0.0,3.0,441.0,354.0,80%,,,
219223,2018-10-17 15:00:00+00:00,1539788400,FT,90,1539788400,1539792000,,Spain,143,Copa del Rey,https://media.api-sports.io/flags/es.svg,https://media.api-sports.io/football/leagues/143.png,2018,3rd Round,Campo Municipal de Futbol La Almozara El Carmen,Zaragoza,,"Ivan Munoz Perez,",Ebro,5261,https://media.api-sports.io/football/teams/5261.png,True,Lleida Esportiu,5266,https://media.api-sports.io/football/teams/5266.png,False,2,1,0,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219224,2018-10-17 18:00:00+00:00,1539799200,FT,90,1539799200,1539802800,,Spain,143,Copa del Rey,https://media.api-sports.io/flags/es.svg,https://media.api-sports.io/football/leagues/143.png,2018,3rd Round,Anxo Carro,Lugo,,"Jorge Figueroa Vazquez, Spain",Lugo,716,https://media.api-sports.io/football/teams/716.png,True,Alcorcon,711,https://media.api-sports.io/football/teams/711.png,False,1,0,0,0,1,0,Lugo,https://media.api-sports.io/football/teams/716.png,4.0,5.0,11.0,2.0,6.0,5.0,15.0,6.0,1.0,48%,2.0,0.0,5.0,418.0,335.0,80%,Alcorcon,https://media.api-sports.io/football/teams/711.png,5.0,4.0,13.0,4.0,8.0,5.0,15.0,4.0,2.0,52%,1.0,0.0,3.0,447.0,374.0,84%,,,
219225,2018-10-17 18:15:00+00:00,1539800100,FT,90,1539800100,1539803700,,Spain,143,Copa del Rey,https://media.api-sports.io/flags/es.svg,https://media.api-sports.io/football/leagues/143.png,2018,3rd Round,Estadio Municipal Valle de Aranguren (Mutilva Baja),,,"Alejandro Sanchez Alba,",Mutilvera,5270,https://media.api-sports.io/football/teams/5270.png,False,Villanovense,5282,https://media.api-sports.io/football/teams/5282.png,True,1,3,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219226,2018-10-17 18:30:00+00:00,1539801000,FT,90,1539801000,1539804600,,Spain,143,Copa del Rey,https://media.api-sports.io/flags/es.svg,https://media.api-sports.io/football/leagues/143.png,2018,3rd Round,El Sardinero,Santander,,"Pablo Fernandez Perez,",Racing Santander,4665,https://media.api-sports.io/football/teams/4665.png,True,UD Logroñés,5280,https://media.api-sports.io/football/teams/5280.png,False,1,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219227,2018-10-17 18:30:00+00:00,1539801000,AET,120,1539801000,1539804600,,Spain,143,Copa del Rey,https://media.api-sports.io/flags/es.svg,https://media.api-sports.io/football/leagues/143.png,2018,3rd Round,Camp Municipal Narcís Sala (Barcelona),,,"Ivan Gonzalez Gonzalez, Spain",Sant Andreu,5277,https://media.api-sports.io/football/teams/5277.png,True,CD Calahorra,5252,https://media.api-sports.io/football/teams/5252.png,False,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219228,2018-10-17 18:45:00+00:00,1539801900,FT,90,1539801900,1539805500,,Spain,143,Copa del Rey,https://media.api-sports.io/flags/es.svg,https://media.api-sports.io/football/leagues/143.png,2018,3rd Round,Estadio Francisco Artes Carrasco,Lorca,2918.0,"Luis Fernando Collado Lopez,",Lorca FC,721,https://media.api-sports.io/football/teams/721.png,False,Cultural Leonesa,725,https://media.api-sports.io/football/teams/725.png,True,0,3,0,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219229,2018-10-17 18:45:00+00:00,1539801900,FT,90,1539801900,1539805500,,Spain,143,Copa del Rey,https://media.api-sports.io/flags/es.svg,https://media.api-sports.io/football/leagues/143.png,2018,3rd Round,Estadio Alvarez Claro,Melilla,3982.0,"Francisco Saez Vital,",Melilla,5268,https://media.api-sports.io/football/teams/5268.png,True,Ontinyent,5272,https://media.api-sports.io/football/teams/5272.png,False,2,0,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219230,2018-10-17 19:00:00+00:00,1539802800,FT,90,1539802800,1539806400,,Spain,143,Copa del Rey,https://media.api-sports.io/flags/es.svg,https://media.api-sports.io/football/leagues/143.png,2018,3rd Round,La Romareda,Saragossa,,"Victor Areces Franco, Spain",Zaragoza,732,https://media.api-sports.io/football/teams/732.png,False,Cadiz,724,https://media.api-sports.io/football/teams/724.png,True,0,1,0,0,0,1,Zaragoza,https://media.api-sports.io/football/teams/732.png,2.0,5.0,9.0,2.0,5.0,4.0,14.0,8.0,2.0,67%,1.0,0.0,1.0,513.0,406.0,79%,Cadiz,https://media.api-sports.io/football/teams/724.png,3.0,7.0,14.0,4.0,11.0,3.0,21.0,6.0,3.0,33%,4.0,0.0,2.0,245.0,169.0,69%,,,
219231,2018-10-18 18:00:00+00:00,1539885600,PEN,120,1539885600,1539889200,,Spain,143,Copa del Rey,https://media.api-sports.io/flags/es.svg,https://media.api-sports.io/football/leagues/143.png,2018,3rd Round,Estadio Cerro del Espino,Majadahonda,,"David Perez Pallas, Spain",Rayo Majadahonda,861,https://media.api-sports.io/football/teams/861.png,False,Sporting Gijon,731,https://media.api-sports.io/football/teams/731.png,True,2,2,0,1,1,1,Rayo Majadahonda,https://media.api-sports.io/football/teams/861.png,6.0,10.0,18.0,2.0,7.0,11.0,12.0,15.0,2.0,65%,3.0,0.0,4.0,764.0,668.0,87%,Sporting Gijon,https://media.api-sports.io/football/teams/731.png,5.0,6.0,14.0,3.0,10.0,4.0,21.0,2.0,1.0,35%,3.0,0.0,5.0,422.0,318.0,75%,,,
