fixture_id,date,timestamp,status,maintime,first_half,second_half,extratime,country,league_id,league_name,league_flag,league_logo,season,round,venue_name,venue_city,venue_id,referee,home_team,home_team_id,home_team_flag,home_winner,away_team,away_team_id,away_team_flag,away_winner,home_goals,away_goals,halftime_home,halftime_away,fulltime_home,fulltime_away,home_team_name,home_team_logo,home_Shots on Goal,home_Shots off Goal,home_Total Shots,home_Blocked Shots,home_Shots insidebox,home_Shots outsidebox,home_Fouls,home_Corner Kicks,home_Offsides,home_Ball Possession,home_Yellow Cards,home_Red Cards,home_Goalkeeper Saves,home_Total passes,home_Passes accurate,home_Passes %,home_Counter Attacks,away_team_name,away_team_logo,away_Shots on Goal,away_Shots off Goal,away_Total Shots,away_Blocked Shots,away_Shots insidebox,away_Shots outsidebox,away_Fouls,away_Corner Kicks,away_Offsides,away_Ball Possession,away_Yellow Cards,away_Red Cards,away_Goalkeeper Saves,away_Total passes,away_Passes accurate,away_Passes %,away_Counter Attacks,odds_home_win,odds_draw,odds_away_win
27144,2018-08-17 18:15:00+00:00,1534529700,FT,90,1534529700,1534533300,,Spain,140,La Liga,https://media.api-sports.io/flags/es.svg,https://media.api-sports.io/football/leagues/140.png,2018,Regular Season - 1,Estadi Montilivi,Girona,,"Guillermo Cuadra Fernandez, Spain",Girona,547,https://media.api-sports.io/football/teams/547.png,,Valladolid,720,https://media.api-sports.io/football/teams/720.png,,0,0,0,0,0,0,Girona,https://media.api-sports.io/football/teams/547.png,1,10,13.0,2.0,7.0,6.0,21,3,1.0,67%,1.0,0.0,1,589.0,501.0,85%,,Valladolid,https://media.api-sports.io/football/teams/720.png,1,1,2.0,0.0,0.0,2.0,20,2,1.0,33%,1.0,0.0,2,275.0,172.0,63%,,,,
27141,2018-08-17 20:15:00+00:00,1534536900,FT,90,1534536900,1534540500,,Spain,140,La Liga,https://media.api-sports.io/flags/es.svg,https://media.api-sports.io/football/leagues/140.png,2018,Regular Season - 1,Benito Villamarín,Seville,,"Ignacio Iglesias Villanueva, Spain",Real Betis,543,https://media.api-sports.io/football/teams/543.png,False,Levante,539,https://media.api-sports.io/football/teams/539.png,True,0,3,0,1,0,3,Real Betis,https://media.api-sports.io/football/teams/543.png,8,10,22.0,4.0,9.0,13.0,10,5,2.0,77%,0.0,0.0,1,707.0,641.0,91%,,Levante,https://media.api-sports.io/football/teams/539.png,4,2,6.0,0.0,5.0,1.0,10,3,4.0,23%,2.0,0.0,8,206.0,133.0,65%,,,,
27142,2018-08-18 16:15:00+00:00,1534608900,FT,90,1534608900,1534612500,,Spain,140,La Liga,https://media.api-sports.io/flags/es.svg,https://media.api-sports.io/football/leagues/140.png,2018,Regular Season - 1,Municipal de Balaídos,Vigo,,"Santiago Jaime Latre, Spain",Celta Vigo,538,https://media.api-sports.io/football/teams/538.png,,Espanyol,540,https://media.api-sports.io/football/teams/540.png,,1,1,0,1,1,1,Celta Vigo,https://media.api-sports.io/football/teams/538.png,2,8,12.0,2.0,7.0,5.0,13,8,3.0,48%,3.0,0.0,4,393.0,313.0,80%,,Espanyol,https://media.api-sports.io/football/teams/540.png,5,4,14.0,5.0,8.0,6.0,14,7,1.0,52%,2.0,0.0,2,423.0,338.0,80%,,,,
27148,2018-08-18 18:15:00+00:00,1534616100,FT,90,1534616100,1534619700,,Spain,140,La Liga,https://media.api-sports.io/flags/es.svg,https://media.api-sports.io/football/leagues/140.png,2018,Regular Season - 1,Estadio de la Cerámica,Villarreal,1498.0,"Mario Melero Lopez, Spain",Villarreal,533,https://media.api-sports.io/football/teams/533.png,False,Real Sociedad,548,https://media.api-sports.io/football/teams/548.png,True,1,2,1,1,1,2,Villarreal,https://media.api-sports.io/football/teams/533.png,7,3,16.0,6.0,10.0,6.0,16,4,0.0,52%,2.0,0.0,2,463.0,366.0,79%,,Real Sociedad,https://media.api-sports.io/football/teams/548.png,4,4,9.0,1.0,4.0,5.0,10,6,4.0,48%,3.0,0.0,6,422.0,331.0,78%,,,,
27140,2018-08-18 20:15:00+00:00,1534623300,FT,90,1534623300,1534626900,,Spain,140,La Liga,https://media.api-sports.io/flags/es.svg,https://media.api-sports.io/football/leagues/140.png,2018,Regular Season - 1,Camp Nou,Barcelona,1462.0,"Jose Maria Sanchez Martinez, Spain",Barcelona,529,https://media.api-sports.io/football/teams/529.png,True,Alaves,542,https://media.api-sports.io/football/teams/542.png,False,3,0,0,0,3,0,Barcelona,https://media.api-sports.io/football/teams/529.png,9,12,25.0,4.0,18.0,7.0,6,7,3.0,78%,0.0,0.0,0,876.0,788.0,90%,,Alaves,https://media.api-sports.io/football/teams/542.png,0,2,3.0,1.0,3.0,0.0,13,1,0.0,22%,2.0,0.0,6,228.0,151.0,66%,,,,
27143,2018-08-19 16:15:00+00:00,1534695300,FT,90,1534695300,1534698900,,Spain,140,La Liga,https://media.api-sports.io/flags/es.svg,https://media.api-sports.io/football/leagues/140.png,2018,Regular Season - 1,Ipurua Municipal Stadium,Eibar,,"Eduardo Prieto Iglesias, Spain",Eibar,545,https://media.api-sports.io/football/teams/545.png,False,Huesca,726,https://media.api-sports.io/football/teams/726.png,True,1,2,0,2,1,2,Eibar,https://media.api-sports.io/football/teams/545.png,6,8,18.0,4.0,13.0,5.0,12,7,1.0,68%,1.0,0.0,4,569.0,465.0,82%,,Huesca,https://media.api-sports.io/football/teams/726.png,6,1,8.0,1.0,3.0,5.0,13,0,2.0,32%,1.0,0.0,5,272.0,183.0,67%,,,,
27145,2018-08-19 18:15:00+00:00,1534702500,FT,90,1534702500,1534706100,,Spain,140,La Liga,https://media.api-sports.io/flags/es.svg,https://media.api-sports.io/football/leagues/140.png,2018,Regular Season - 1,Estadio de Vallecas,Madrid,1488.0,"Antonio Mateu, Spain",Rayo Vallecano,728,https://media.api-sports.io/football/teams/728.png,False,Sevilla,536,https://media.api-sports.io/football/teams/536.png,True,1,4,0,3,1,4,Rayo Vallecano,https://media.api-sports.io/football/teams/728.png,2,5,13.0,6.0,8.0,5.0,6,2,3.0,48%,1.0,0.0,3,412.0,348.0,84%,,Sevilla,https://media.api-sports.io/football/teams/536.png,8,7,17.0,2.0,12.0,5.0,15,6,6.0,52%,0.0,0.0,1,441.0,370.0,84%,,,,
27146,2018-08-19 20:15:00+00:00,1534709700,FT,90,1534709700,1534713300,,Spain,140,La Liga,https://media.api-sports.io/flags/es.svg,https://media.api-sports.io/football/leagues/140.png,2018,Regular Season - 1,Santiago Bernabéu,Madrid,,"Javier Estrada Fernandez, Spain",Real Madrid,541,https://media.api-sports.io/football/teams/541.png,True,Getafe,546,https://media.api-sports.io/football/teams/546.png,False,2,0,1,0,2,0,Real Madrid,https://media.api-sports.io/football/teams/541.png,3,5,10.0,2.0,7.0,3.0,11,3,6.0,77%,1.0,0.0,1,791.0,723.0,91%,,Getafe,https://media.api-sports.io/football/teams/546.png,1,2,5.0,2.0,2.0,3.0,28,0,0.0,23%,7.0,0.0,1,223.0,146.0,65%,,,,
27147,2018-08-20 18:00:00+00:00,1534788000,FT,90,1534788000,1534791600,,Spain,140,La Liga,https://media.api-sports.io/flags/es.svg,https://media.api-sports.io/football/leagues/140.png,2018,Regular Season - 1,Mestalla,Valencia,,"Jesus Gil Manzano, Spain",Valencia,532,https://media.api-sports.io/football/teams/532.png,,Atletico Madrid,530,https://media.api-sports.io/football/teams/530.png,,1,1,0,1,1,1,Valencia,https://media.api-sports.io/football/teams/532.png,4,8,13.0,1.0,7.0,6.0,10,4,0.0,51%,2.0,0.0,2,501.0,417.0,83%,,Atletico Madrid,https://media.api-sports.io/football/teams/530.png,3,3,9.0,3.0,5.0,4.0,15,10,6.0,49%,3.0,0.0,3,471.0,377.0,80%,,,,
27139,2018-08-20 20:00:00+00:00,1534795200,FT,90,1534795200,1534798800,,Spain,140,La Liga,https://media.api-sports.io/flags/es.svg,https://media.api-sports.io/football/leagues/140.png,2018,Regular Season - 1,San Mamés,Bilbao,,"Adrian Cordero Vega, Spain",Athletic Club,531,https://media.api-sports.io/football/teams/531.png,True,Leganes,537,https://media.api-sports.io/football/teams/537.png,False,2,1,1,1,2,1,Athletic Club,https://media.api-sports.io/football/teams/531.png,5,9,17.0,3.0,14.0,3.0,12,6,0.0,66%,4.0,0.0,1,580.0,490.0,84%,,Leganes,https://media.api-sports.io/football/teams/537.png,2,7,11.0,2.0,9.0,2.0,13,2,1.0,34%,5.0,0.0,3,296.0,208.0,70%,,,,
27153,2018-08-24 18:15:00+00:00,1535134500,FT,90,1535134500,1535138100,,Spain,140,La Liga,https://media.api-sports.io/flags/es.svg,https://media.api-sports.io/football/leagues/140.png,2018,Regular Season - 2,Coliseum Alfonso Pérez,Getafe,1476.0,"David Medie Jimenez, Spain",Getafe,546,https://media.api-sports.io/football/teams/546.png,True,Eibar,545,https://media.api-sports.io/football/teams/545.png,False,2,0,1,0,2,0,Getafe,https://media.api-sports.io/football/teams/546.png,4,3,7.0,0.0,4.0,3.0,14,5,2.0,35%,2.0,0.0,0,232.0,120.0,52%,,Eibar,https://media.api-sports.io/football/teams/545.png,0,8,9.0,1.0,8.0,1.0,11,5,5.0,65%,1.0,0.0,2,423.0,272.0,64%,,,,
27155,2018-08-24 20:15:00+00:00,1535141700,FT,90,1535141700,1535145300,,Spain,140,La Liga,https://media.api-sports.io/flags/es.svg,https://media.api-sports.io/football/leagues/140.png,2018,Regular Season - 2,Municipal de Butarque,Leganes,,"Jose Luis Munuera Montero, Spain",Leganes,537,https://media.api-sports.io/football/teams/537.png,,Real Sociedad,548,https://media.api-sports.io/football/teams/548.png,,2,2,0,2,2,2,Leganes,https://media.api-sports.io/football/teams/537.png,5,9,18.0,4.0,14.0,4.0,12,5,3.0,66%,1.0,0.0,4,579.0,473.0,82%,,Real Sociedad,https://media.api-sports.io/football/teams/548.png,6,1,7.0,0.0,5.0,2.0,9,0,3.0,34%,2.0,0.0,2,304.0,201.0,66%,,,,
27149,2018-08-25 16:15:00+00:00,1535213700,FT,90,1535213700,1535217300,,Spain,140,La Liga,https://media.api-sports.io/flags/es.svg,https://media.api-sports.io/football/leagues/140.png,2018,Regular Season - 2,Estadio de Mendizorroza,Vitoria-Gasteiz,1470.0,"Pablo Gonzales Fuertes, Spain",Alaves,542,https://media.api-sports.io/football/teams/542.png,,Real Betis,543,https://media.api-sports.io/football/teams/543.png,,0,0,0,0,0,0,Alaves,https://media.api-sports.io/football/teams/542.png,4,8,16.0,4.0,6.0,10.0,17,5,1.0,33%,3.0,0.0,4,265.0,189.0,71%,,Real Betis,https://media.api-sports.io/football/teams/543.png,5,3,12.0,4.0,10.0,2.0,15,6,5.0,67%,1.0,0.0,4,555.0,475.0,86%,,,,
27151,2018-08-25 18:15:00+00:00,1535220900,FT,90,1535220900,1535224500,,Spain,140,La Liga,https://media.api-sports.io/flags/es.svg,https://media.api-sports.io/football/leagues/140.png,2018,Regular Season - 2,Estadio Wanda Metropolitano,Madrid,1461.0,"Jose Luis Gonzalez Gonzalez, Spain",Atletico Madrid,530,https://media.api-sports.io/football/teams/530.png,True,Rayo Vallecano,728,https://media.api-sports.io/football/teams/728.png,False,1,0,0,0,1,0,Atletico Madrid,https://media.api-sports.io/football/teams/530.png,2,5,9.0,2.0,5.0,4.0,7,8,4.0,46%,1.0,0.0,3,433.0,339.0,78%,,Rayo Vallecano,https://media.api-sports.io/football/teams/728.png,3,8,13.0,2.0,9.0,4.0,8,5,1.0,54%,1.0,0.0,1,496.0,413.0,83%,,,,
27158,2018-08-25 20:15:00+00:00,1535228100,FT,90,1535228100,1535231700,,Spain,140,La Liga,https://media.api-sports.io/flags/es.svg,https://media.api-sports.io/football/leagues/140.png,2018,Regular Season - 2,José Zorrilla,Valladolid,,"Ricardo De Burgos Bengoetxea, Spain",Valladolid,720,https://media.api-sports.io/football/teams/720.png,False,Barcelona,529,https://media.api-sports.io/football/teams/529.png,True,0,1,0,0,0,1,Valladolid,https://media.api-sports.io/football/teams/720.png,4,3,7.0,0.0,4.0,3.0,13,6,2.0,35%,1.0,0.0,4,322.0,243.0,75%,,Barcelona,https://media.api-sports.io/football/teams/529.png,5,4,10.0,1.0,6.0,4.0,11,10,1.0,65%,1.0,0.0,4,594.0,504.0,85%,,,,
27152,2018-08-26 16:15:00+00:00,1535300100,FT,90,1535300100,1535303700,,Spain,140,La Liga,https://media.api-sports.io/flags/es.svg,https://media.api-sports.io/football/leagues/140.png,2018,Regular Season - 2,RCDE Stadium,Cornella,,"Carlos Del Cerro Grande, Spain",Espanyol,540,https://media.api-sports.io/football/teams/540.png,True,Valencia,532,https://media.api-sports.io/football/teams/532.png,False,2,0,0,0,2,0,Espanyol,https://media.api-sports.io/football/teams/540.png,9,5,19.0,5.0,12.0,7.0,16,6,2.0,48%,1.0,0.0,3,432.0,357.0,83%,,Valencia,https://media.api-sports.io/football/teams/532.png,4,2,16.0,10.0,7.0,9.0,12,10,1.0,52%,1.0,0.0,7,473.0,383.0,81%,,,,
27157,2018-08-26 20:15:00+00:00,1535314500,FT,90,1535314500,1535318100,,Spain,140,La Liga,https://media.api-sports.io/flags/es.svg,https://media.api-sports.io/football/leagues/140.png,2018,Regular Season - 2,Ramón Sánchez-Pizjuán,Seville,,"Alberto Undiano, Spain",Sevilla,536,https://media.api-sports.io/football/teams/536.png,,Villarreal,533,https://media.api-sports.io/football/teams/533.png,,0,0,0,0,0,0,Sevilla,https://media.api-sports.io/football/teams/536.png,2,9,19.0,8.0,12.0,7.0,13,4,0.0,52%,3.0,0.0,6,453.0,384.0,85%,,Villarreal,https://media.api-sports.io/football/teams/533.png,6,3,15.0,6.0,5.0,10.0,14,5,2.0,48%,2.0,0.0,2,428.0,358.0,84%,,,,
27154,2018-08-26 20:15:00+00:00,1535314500,FT,90,1535314500,1535318100,,Spain,140,La Liga,https://media.api-sports.io/flags/es.svg,https://media.api-sports.io/football/leagues/140.png,2018,Regular Season - 2,Estadi Montilivi,Girona,,"Juan Martinez Munuera, Spain",Girona,547,https://media.api-sports.io/football/teams/547.png,False,Real Madrid,541,https://media.api-sports.io/football/teams/541.png,True,1,4,1,1,1,4,Girona,https://media.api-sports.io/football/teams/547.png,5,3,10.0,2.0,5.0,5.0,13,4,2.0,33%,2.0,0.0,4,359.0,277.0,77%,,Real Madrid,https://media.api-sports.io/football/teams/541.png,8,7,20.0,5.0,14.0,6.0,11,7,1.0,67%,3.0,0.0,4,714.0,643.0,90%,,,,
27156,2018-08-27 18:15:00+00:00,1535393700,FT,90,1535393700,1535397300,,Spain,140,La Liga,https://media.api-sports.io/flags/es.svg,https://media.api-sports.io/football/leagues/140.png,2018,Regular Season - 2,Ciutat de València,Valencia,,"Alejandro Hernandez, Spain",Levante,539,https://media.api-sports.io/football/teams/539.png,False,Celta Vigo,538,https://media.api-sports.io/football/teams/538.png,True,1,2,0,2,1,2,Levante,https://media.api-sports.io/football/teams/539.png,6,5,15.0,4.0,7.0,8.0,14,7,1.0,54%,2.0,0.0,6,426.0,343.0,81%,,Celta Vigo,https://media.api-sports.io/football/teams/538.png,9,8,21.0,4.0,12.0,9.0,8,7,4.0,46%,3.0,0.0,5,371.0,301.0,81%,,,,
