fixture_id,date,timestamp,status,maintime,first_half,second_half,extratime,country,league_id,league_name,league_flag,league_logo,season,round,venue_name,venue_city,venue_id,referee,home_team,home_team_id,home_team_flag,home_winner,away_team,away_team_id,away_team_flag,away_winner,home_goals,away_goals,halftime_home,halftime_away,fulltime_home,fulltime_away,home_team_name,home_team_logo,home_Shots on Goal,home_Shots off Goal,home_Total Shots,home_Blocked Shots,home_Shots insidebox,home_Shots outsidebox,home_Fouls,home_Corner Kicks,home_Offsides,home_Ball Possession,home_Yellow Cards,home_Red Cards,home_Goalkeeper Saves,home_Total passes,home_Passes accurate,home_Passes %,away_team_name,away_team_logo,away_Shots on Goal,away_Shots off Goal,away_Total Shots,away_Blocked Shots,away_Shots insidebox,away_Shots outsidebox,away_Fouls,away_Corner Kicks,away_Offsides,away_Ball Possession,away_Yellow Cards,away_Red Cards,away_Goalkeeper Saves,away_Total passes,away_Passes accurate,away_Passes %,odds_home_win,odds_draw,odds_away_win
1037952,2023-08-11 17:30:00+00:00,1691775000,FT,90,1691775000,1691778600,,Spain,140,La Liga,https://media.api-sports.io/flags/es.svg,https://media.api-sports.io/football/leagues/140.png,2023,Regular Season - 1,Power Horse Stadium,Almería,19216,"Antonio Alberola Rojas, Spain",Almeria,723,https://media.api-sports.io/football/teams/723.png,False,Rayo Vallecano,728,https://media.api-sports.io/football/teams/728.png,True,0,2,0,2,0,2,Almeria,https://media.api-sports.io/football/teams/723.png,5,11,19,3,12,7,16,8,1.0,60%,1.0,,2.0,480,422,88%,Rayo Vallecano,https://media.api-sports.io/football/teams/728.png,4,2,10,4,6,4,25,3,1.0,40%,3.0,,5.0,329,255,78%,,,
1037956,2023-08-11 20:00:00+00:00,1691784000,FT,90,1691784000,1691787600,,Spain,140,La Liga,https://media.api-sports.io/flags/es.svg,https://media.api-sports.io/football/leagues/140.png,2023,Regular Season - 1,Estadio Ramón Sánchez Pizjuán,Sevilla,1494,"Jose Maria Sanchez Martinez, Spain",Sevilla,536,https://media.api-sports.io/football/teams/536.png,False,Valencia,532,https://media.api-sports.io/football/teams/532.png,True,1,2,0,0,1,2,Sevilla,https://media.api-sports.io/football/teams/536.png,3,5,9,1,5,4,15,8,3.0,55%,3.0,1.0,1.0,397,297,75%,Valencia,https://media.api-sports.io/football/teams/532.png,3,6,10,1,7,3,17,1,0.0,45%,2.0,0.0,2.0,343,244,71%,,,
1037960,2023-08-12 15:00:00+00:00,1691852400,FT,90,1691852400,1691856000,,Spain,140,La Liga,https://media.api-sports.io/flags/es.svg,https://media.api-sports.io/football/leagues/140.png,2023,Regular Season - 1,Reale Arena,Donostia-San Sebastián,1491,"Francisco Hernandez Maeso, Spain",Real Sociedad,548,https://media.api-sports.io/football/teams/548.png,,Girona,547,https://media.api-sports.io/football/teams/547.png,,1,1,1,0,1,1,Real Sociedad,https://media.api-sports.io/football/teams/548.png,2,11,15,2,7,8,22,4,0.0,48%,2.0,,0.0,376,306,81%,Girona,https://media.api-sports.io/football/teams/547.png,1,2,6,3,5,1,9,1,3.0,52%,5.0,,1.0,416,342,82%,,,
1037957,2023-08-12 17:30:00+00:00,1691861400,FT,90,1691861400,1691865000,,Spain,140,La Liga,https://media.api-sports.io/flags/es.svg,https://media.api-sports.io/football/leagues/140.png,2023,Regular Season - 1,Estadio de Gran Canaria,Las Palmas de Gran Canaria,1481,"Victor Garcia Verdura, Spain",Las Palmas,534,https://media.api-sports.io/football/teams/534.png,,Mallorca,798,https://media.api-sports.io/football/teams/798.png,,1,1,1,0,1,1,Las Palmas,https://media.api-sports.io/football/teams/534.png,2,1,5,2,2,3,11,3,1.0,69%,3.0,,1.0,605,522,86%,Mallorca,https://media.api-sports.io/football/teams/798.png,2,8,12,2,8,4,21,6,6.0,31%,2.0,,1.0,255,178,70%,,,
1037953,2023-08-12 19:30:00+00:00,1691868600,FT,90,1691868600,1691872200,,Spain,140,La Liga,https://media.api-sports.io/flags/es.svg,https://media.api-sports.io/football/leagues/140.png,2023,Regular Season - 1,San Mamés Barria,Bilbao,1460,"Jesus Gil Manzano, Spain",Athletic Club,531,https://media.api-sports.io/football/teams/531.png,False,Real Madrid,541,https://media.api-sports.io/football/teams/541.png,True,0,2,0,2,0,2,Athletic Club,https://media.api-sports.io/football/teams/531.png,1,3,7,3,5,2,18,7,2.0,46%,3.0,,6.0,489,419,86%,Real Madrid,https://media.api-sports.io/football/teams/541.png,8,3,14,3,10,4,6,5,2.0,54%,1.0,,1.0,603,528,88%,,,
1037955,2023-08-13 15:00:00+00:00,1691938800,FT,90,1691938800,1691942400,,Spain,140,La Liga,https://media.api-sports.io/flags/es.svg,https://media.api-sports.io/football/leagues/140.png,2023,Regular Season - 1,Estadio Abanca-Balaídos,Vigo,1467,"Pablo Gonzales Fuertes, Spain",Celta Vigo,538,https://media.api-sports.io/football/teams/538.png,False,Osasuna,727,https://media.api-sports.io/football/teams/727.png,True,0,2,0,1,0,2,Celta Vigo,https://media.api-sports.io/football/teams/538.png,1,7,11,3,8,3,11,7,6.0,52%,1.0,,3.0,469,385,82%,Osasuna,https://media.api-sports.io/football/teams/727.png,5,5,11,1,8,3,15,2,1.0,48%,1.0,,0.0,433,324,75%,,,
1037959,2023-08-13 17:30:00+00:00,1691947800,FT,90,1691947800,1691951400,,Spain,140,La Liga,https://media.api-sports.io/flags/es.svg,https://media.api-sports.io/football/leagues/140.png,2023,Regular Season - 1,Estadio de la Cerámica,Villarreal,1498,"Miguel Angel Ortiz Arias, Spain",Villarreal,533,https://media.api-sports.io/football/teams/533.png,False,Real Betis,543,https://media.api-sports.io/football/teams/543.png,True,1,2,0,1,1,2,Villarreal,https://media.api-sports.io/football/teams/533.png,5,6,18,7,12,6,13,9,2.0,63%,1.0,,3.0,560,481,86%,Real Betis,https://media.api-sports.io/football/teams/543.png,5,2,12,5,6,6,17,4,1.0,37%,3.0,,4.0,317,251,79%,,,
1037958,2023-08-13 19:30:00+00:00,1691955000,FT,90,1691955000,1691958600,,Spain,140,La Liga,https://media.api-sports.io/flags/es.svg,https://media.api-sports.io/football/leagues/140.png,2023,Regular Season - 1,Estadio Coliseum,Getafe,20422,"Cesar Soto Grado, Spain",Getafe,546,https://media.api-sports.io/football/teams/546.png,,Barcelona,529,https://media.api-sports.io/football/teams/529.png,,0,0,0,0,0,0,Getafe,https://media.api-sports.io/football/teams/546.png,2,3,5,0,3,2,20,3,4.0,25%,8.0,1.0,3.0,233,167,72%,Barcelona,https://media.api-sports.io/football/teams/529.png,4,7,14,3,6,8,11,4,2.0,75%,2.0,1.0,2.0,729,659,90%,,,
1037961,2023-08-14 17:30:00+00:00,1692034200,FT,90,1692034200,1692037800,,Spain,140,La Liga,https://media.api-sports.io/flags/es.svg,https://media.api-sports.io/football/leagues/140.png,2023,Regular Season - 1,Estadio Nuevo Mirandilla,Cádiz,11915,"Isidro Diaz de Mera Escuderos, Spain",Cadiz,724,https://media.api-sports.io/football/teams/724.png,True,Alaves,542,https://media.api-sports.io/football/teams/542.png,False,1,0,1,0,1,0,Cadiz,https://media.api-sports.io/football/teams/724.png,3,6,12,3,7,5,19,2,2.0,44%,3.0,1.0,2.0,298,206,69%,Alaves,https://media.api-sports.io/football/teams/542.png,2,5,10,3,4,6,15,4,2.0,56%,2.0,0.0,2.0,365,274,75%,,,
1037954,2023-08-14 19:30:00+00:00,1692041400,FT,90,1692041400,1692045000,,Spain,140,La Liga,https://media.api-sports.io/flags/es.svg,https://media.api-sports.io/football/leagues/140.png,2023,Regular Season - 1,Estádio Cívitas Metropolitano,Madrid,19217,"Juan Luis Pulido Santana, Spain",Atletico Madrid,530,https://media.api-sports.io/football/teams/530.png,True,Granada CF,715,https://media.api-sports.io/football/teams/715.png,False,3,1,1,0,3,1,Atletico Madrid,https://media.api-sports.io/football/teams/530.png,6,6,14,2,11,3,15,3,3.0,45%,3.0,,3.0,428,351,82%,Granada CF,https://media.api-sports.io/football/teams/715.png,4,0,7,3,5,2,9,3,0.0,55%,1.0,,3.0,527,435,83%,,,
1037964,2023-08-18 17:30:00+00:00,1692379800,FT,90,1692379800,1692383400,,Spain,140,La Liga,https://media.api-sports.io/flags/es.svg,https://media.api-sports.io/football/leagues/140.png,2023,Regular Season - 2,Estadi Mallorca Son Moix,Palma de Mallorca,19940,"Javier Alberola Rojas, Spain",Mallorca,798,https://media.api-sports.io/football/teams/798.png,False,Villarreal,533,https://media.api-sports.io/football/teams/533.png,True,0,1,0,0,0,1,Mallorca,https://media.api-sports.io/football/teams/798.png,1,4,8,3,7,1,12,6,6.0,40%,2.0,,3.0,323,272,84%,Villarreal,https://media.api-sports.io/football/teams/533.png,3,7,15,5,11,4,11,5,1.0,60%,4.0,,1.0,517,463,90%,,,
1037971,2023-08-18 19:30:00+00:00,1692387000,FT,90,1692387000,1692390600,,Spain,140,La Liga,https://media.api-sports.io/flags/es.svg,https://media.api-sports.io/football/leagues/140.png,2023,Regular Season - 2,Estadio de Mestalla,Valencia,1497,"Javier Iglesias Villanueva, Spain",Valencia,532,https://media.api-sports.io/football/teams/532.png,True,Las Palmas,534,https://media.api-sports.io/football/teams/534.png,False,1,0,0,0,1,0,Valencia,https://media.api-sports.io/football/teams/532.png,4,2,9,3,8,1,12,6,2.0,39%,,,1.0,365,290,79%,Las Palmas,https://media.api-sports.io/football/teams/534.png,1,4,7,2,2,5,6,4,1.0,61%,,,3.0,605,522,86%,,,
