fixture_id,date,timestamp,status,maintime,first_half,second_half,extratime,country,league_id,league_name,league_flag,league_logo,season,round,venue_name,venue_city,venue_id,referee,home_team,home_team_id,home_team_flag,away_team,away_team_id,away_team_flag,home_goals,away_goals,halftime_home,halftime_away,fulltime_home,fulltime_away,home_shots_on_goal,home_shots_off_goal,home_total_shots,home_blocked_shots,home_shots_insidebox,home_shots_outsidebox,home_fouls,home_corner_kicks,home_offsides,home_ball_possession,home_yellow_cards,home_red_cards,home_goalkeeper_saves,home_total_passes,home_passes_accurate,home_passes,away_shots_on_goal,away_shots_off_goal,away_total_shots,away_blocked_shots,away_shots_insidebox,away_shots_outsidebox,away_fouls,away_corner_kicks,away_offsides,away_ball_possession,away_yellow_cards,away_red_cards,away_goalkeeper_saves,away_total_passes,away_passes_accurate,away_passes,home_points,away_points,home_goals_for,away_goals_for,home_goals_against,away_goals_against,home_played,away_played,home_wins,away_wins,home_draws,away_draws,home_losses,away_losses,home_goals_diff,away_goals_diff,home_rank,away_rank
1396944,2025-08-15 19:30:00+00:00,1755286200,FT,90,1755286200,1755289800,5,Spain,141,Segunda División,https://media.api-sports.io/flags/es.svg,https://media.api-sports.io/football/leagues/141.png,2025,Regular Season - 1,Estadio Municipal José Zorrilla,Valladolid,1492,Sergiu Claudiu Muresan,Valladolid,720,https://media.api-sports.io/football/teams/720.png,Ad Ceuta Fc,10139,https://media.api-sports.io/football/teams/10139.png,3,0,2,0,3,0,9,5,16,2,14,2,18,6,7,0.42,3,0.0,0,280,188,0.67,0,4,5,1,2,3,11,4,2,0.58,2,0.0,5,404,291,0.72,174,0,174,0,0,174,58,58,58,0,0,0,0,58,174,-174,2,21
1391254,2025-08-15 19:30:00+00:00,1755286200,FT,90,1755286200,1755289800,3,Spain,141,Segunda División,https://media.api-sports.io/flags/es.svg,https://media.api-sports.io/football/leagues/141.png,2025,Regular Season - 1,Estadio Municipal de El Plantío,Burgos,6674,Jon Ander González Esteban,Burgos,9580,https://media.api-sports.io/football/teams/9580.png,Cultural Leonesa,725,https://media.api-sports.io/football/teams/725.png,5,1,3,0,5,1,7,6,15,2,13,2,13,3,3,0.65,1,0.0,1,552,500,0.91,1,3,8,4,1,7,10,3,0,0.35,1,1.0,2,299,238,0.8,174,0,290,58,58,290,58,58,58,0,0,0,0,58,232,-232,1,22
1391256,2025-08-16 15:00:00+00:00,1755356400,FT,90,1755356400,1755360000,10,Spain,141,Segunda División,https://media.api-sports.io/flags/es.svg,https://media.api-sports.io/football/leagues/141.png,2025,Regular Season - 1,Campos de Sport de El Sardinero,Santander,3516,Dámaso Arcediano Monescillo,Racing Santander,4665,https://media.api-sports.io/football/teams/4665.png,Castellón,5254,https://media.api-sports.io/football/teams/5254.png,3,1,2,1,3,1,5,2,10,3,8,2,16,3,2,0.37,3,0.0,7,283,212,0.75,8,5,17,4,12,5,14,12,5,0.63,0,1.0,2,469,399,0.85,174,0,174,58,58,174,58,58,58,0,0,0,0,58,116,-116,3,19
1391259,2025-08-16 17:30:00+00:00,1755365400,FT,90,1755365400,1755369000,7,Spain,141,Segunda División,https://media.api-sports.io/flags/es.svg,https://media.api-sports.io/football/leagues/141.png,2025,Regular Season - 1,Estadio La Rosaleda,Málaga,1483,Saúl Ais Reig,Malaga,535,https://media.api-sports.io/football/teams/535.png,Eibar,545,https://media.api-sports.io/football/teams/545.png,1,1,0,0,1,1,4,5,11,2,5,6,10,8,1,0.54,2,0.0,2,419,338,0.81,3,3,7,1,6,1,7,3,3,0.46,2,0.0,3,365,281,0.77,58,58,58,58,58,58,58,58,0,0,58,58,0,0,0,0,10,10
1391253,2025-08-16 19:30:00+00:00,1755372600,FT,90,1755372600,1755376200,8,Spain,141,Segunda División,https://media.api-sports.io/flags/es.svg,https://media.api-sports.io/football/leagues/141.png,2025,Regular Season - 1,Estadio Nuevo Los Cármenes,Granada,1479,Daniel Palencia Caballero,Granada Cf,715,https://media.api-sports.io/football/teams/715.png,Deportivo La Coruna,544,https://media.api-sports.io/football/teams/544.png,1,3,0,1,1,3,2,6,14,6,5,9,9,7,1,0.46,3,1.0,4,368,293,0.8,7,6,15,2,12,3,11,1,3,0.54,2,0.0,1,454,380,0.84,0,174,58,174,174,58,58,58,0,58,0,0,58,0,-116,116,19,3
1391257,2025-08-17 15:00:00+00:00,1755442800,FT,90,1755442800,1755446400,6,Spain,141,Segunda División,https://media.api-sports.io/flags/es.svg,https://media.api-sports.io/football/leagues/141.png,2025,Regular Season - 1,Reale Arena,Donostia-San Sebastián,1491,Miguel González Díaz,Real Sociedad Ii,9585,https://media.api-sports.io/football/teams/9585.png,Zaragoza,732,https://media.api-sports.io/football/teams/732.png,1,0,1,0,1,0,2,1,3,0,0,3,24,2,0,0.4,4,0.0,5,301,225,0.75,5,8,18,5,11,7,12,9,1,0.6,2,0.0,1,425,348,0.82,174,0,58,0,0,58,58,58,58,0,0,0,0,58,58,-58,6,17
1391255,2025-08-17 17:30:00+00:00,1755451800,FT,90,1755451800,1755455400,7,Spain,141,Segunda División,https://media.api-sports.io/flags/es.svg,https://media.api-sports.io/football/leagues/141.png,2025,Regular Season - 1,Estadio Nuevo Mirandilla,Cádiz,11915,Gorka Etayo Herrera,Cadiz,724,https://media.api-sports.io/football/teams/724.png,Mirandes,799,https://media.api-sports.io/football/teams/799.png,1,0,1,0,1,0,3,12,24,9,13,11,14,7,2,0.72,3,0.0,0,544,472,0.87,0,1,1,0,0,1,9,0,0,0.28,2,1.0,2,230,148,0.64,174,0,58,0,0,58,58,58,58,0,0,0,0,58,58,-58,6,17
1396943,2025-08-17 19:30:00+00:00,1755459000,FT,90,1755459000,1755462600,10,Spain,141,Segunda División,https://media.api-sports.io/flags/es.svg,https://media.api-sports.io/football/leagues/141.png,2025,Regular Season - 1,Estadio de Gran Canaria,Las Palmas de Gran Canaria,1481,Lluís Bestard Servera,Las Palmas,534,https://media.api-sports.io/football/teams/534.png,Fc Andorra,8157,https://media.api-sports.io/football/teams/8157.png,1,1,1,0,1,1,2,5,10,3,6,4,16,1,4,0.43,2,1.0,2,427,346,0.81,2,4,7,1,3,4,17,2,1,0.57,3,0.0,1,570,494,0.87,58,58,58,58,58,58,58,58,0,0,58,58,0,0,0,0,10,10
1391258,2025-08-17 19:30:00+00:00,1755459000,FT,90,1755459000,1755462600,6,Spain,141,Segunda División,https://media.api-sports.io/flags/es.svg,https://media.api-sports.io/football/leagues/141.png,2025,Regular Season - 1,Estadio El Alcoraz,Huesca,1480,Marta Huerta De Aza,Huesca,726,https://media.api-sports.io/football/teams/726.png,Leganes,537,https://media.api-sports.io/football/teams/537.png,1,1,0,0,1,1,3,9,14,2,8,6,11,5,1,0.56,2,0.0,2,393,292,0.74,3,2,7,2,6,1,12,3,3,0.44,2,0.0,2,317,224,0.71,58,58,58,58,58,58,58,58,0,0,58,58,0,0,0,0,10,10
1396942,2025-08-18 17:00:00+00:00,1755536400,FT,90,1755536400,1755540000,9,Spain,141,Segunda División,https://media.api-sports.io/flags/es.svg,https://media.api-sports.io/football/leagues/141.png,2025,Regular Season - 1,Estadio Municipal El Molinón-Enrique Castro Quini,Gijón,,Álvaro Moreno Aragón,Sporting Gijon,731,https://media.api-sports.io/football/teams/731.png,Cordoba,713,https://media.api-sports.io/football/teams/713.png,2,1,1,1,2,1,4,2,9,3,6,3,13,2,7,0.35,2,0.0,4,272,186,0.68,5,6,15,4,8,7,7,4,1,0.65,2,0.0,2,482,395,0.82,174,0,116,58,58,116,58,58,58,0,0,0,0,58,58,-58,5,16
